InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,GpuInfo,Price,SpotPrice,Region,AvailabilityZone
a1.2xlarge,,,8.0,16.0,,0.2568,0.069000,ap-northeast-1,ap-northeast-1a
a1.2xlarge,,,8.0,16.0,,0.2568,,ap-northeast-1,ap-northeast-1c
a1.2xlarge,,,8.0,16.0,,0.2568,0.069000,ap-northeast-1,ap-northeast-1d
a1.2xlarge,,,8.0,16.0,,0.204,,ap-south-1,ap-south-1a
a1.2xlarge,,,8.0,16.0,,0.204,0.054700,ap-south-1,ap-south-1b
a1.2xlarge,,,8.0,16.0,,0.204,0.054700,ap-south-1,ap-south-1c
a1.2xlarge,,,8.0,16.0,,0.2352,0.064600,ap-southeast-1,ap-southeast-1a
a1.2xlarge,,,8.0,16.0,,0.2352,0.064600,ap-southeast-1,ap-southeast-1b
a1.2xlarge,,,8.0,16.0,,0.2352,,ap-southeast-1,ap-southeast-1c
a1.2xlarge,,,8.0,16.0,,0.2664,0.071400,ap-southeast-2,ap-southeast-2a
a1.2xlarge,,,8.0,16.0,,0.2664,,ap-southeast-2,ap-southeast-2b
a1.2xlarge,,,8.0,16.0,,0.2664,0.071400,ap-southeast-2,ap-southeast-2c
a1.2xlarge,,,8.0,16.0,,0.2328,0.093300,eu-central-1,eu-central-1a
a1.2xlarge,,,8.0,16.0,,0.2328,0.068700,eu-central-1,eu-central-1b
a1.2xlarge,,,8.0,16.0,,0.2328,,eu-central-1,eu-central-1c
a1.2xlarge,,,8.0,16.0,,0.2304,,eu-west-1,eu-west-1a
a1.2xlarge,,,8.0,16.0,,0.2304,0.071200,eu-west-1,eu-west-1b
a1.2xlarge,,,8.0,16.0,,0.2304,0.071200,eu-west-1,eu-west-1c
a1.2xlarge,,,8.0,16.0,,0.204,0.067100,us-east-1,us-east-1a
a1.2xlarge,,,8.0,16.0,,0.204,0.067100,us-east-1,us-east-1b
a1.2xlarge,,,8.0,16.0,,0.204,0.078700,us-east-1,us-east-1c
a1.2xlarge,,,8.0,16.0,,0.204,,us-east-1,us-east-1d
a1.2xlarge,,,8.0,16.0,,0.204,,us-east-1,us-east-1e
a1.2xlarge,,,8.0,16.0,,0.204,,us-east-1,us-east-1f
a1.2xlarge,,,8.0,16.0,,0.204,0.039400,us-east-2,us-east-2a
a1.2xlarge,,,8.0,16.0,,0.204,0.039400,us-east-2,us-east-2b
a1.2xlarge,,,8.0,16.0,,0.204,,us-east-2,us-east-2c
a1.2xlarge,,,8.0,16.0,,0.204,,us-west-2,us-west-2a
a1.2xlarge,,,8.0,16.0,,0.204,0.066700,us-west-2,us-west-2b
a1.2xlarge,,,8.0,16.0,,0.204,0.066700,us-west-2,us-west-2c
a1.2xlarge,,,8.0,16.0,,0.204,,us-west-2,us-west-2d
a1.4xlarge,,,16.0,32.0,,0.5136,0.137900,ap-northeast-1,ap-northeast-1a
a1.4xlarge,,,16.0,32.0,,0.5136,,ap-northeast-1,ap-northeast-1c
a1.4xlarge,,,16.0,32.0,,0.5136,0.137900,ap-northeast-1,ap-northeast-1d
a1.4xlarge,,,16.0,32.0,,0.408,,ap-south-1,ap-south-1a
a1.4xlarge,,,16.0,32.0,,0.408,0.109500,ap-south-1,ap-south-1b
a1.4xlarge,,,16.0,32.0,,0.408,0.109500,ap-south-1,ap-south-1c
a1.4xlarge,,,16.0,32.0,,0.4704,0.129100,ap-southeast-1,ap-southeast-1a
a1.4xlarge,,,16.0,32.0,,0.4704,0.129100,ap-southeast-1,ap-southeast-1b
a1.4xlarge,,,16.0,32.0,,0.4704,,ap-southeast-1,ap-southeast-1c
a1.4xlarge,,,16.0,32.0,,0.5328,0.142900,ap-southeast-2,ap-southeast-2a
a1.4xlarge,,,16.0,32.0,,0.5328,,ap-southeast-2,ap-southeast-2b
a1.4xlarge,,,16.0,32.0,,0.5328,0.142900,ap-southeast-2,ap-southeast-2c
a1.4xlarge,,,16.0,32.0,,0.4656,0.465600,eu-central-1,eu-central-1a
a1.4xlarge,,,16.0,32.0,,0.4656,0.465600,eu-central-1,eu-central-1b
a1.4xlarge,,,16.0,32.0,,0.4656,,eu-central-1,eu-central-1c
a1.4xlarge,,,16.0,32.0,,0.4608,,eu-west-1,eu-west-1a
a1.4xlarge,,,16.0,32.0,,0.4608,0.142400,eu-west-1,eu-west-1b
a1.4xlarge,,,16.0,32.0,,0.4608,0.142400,eu-west-1,eu-west-1c
a1.4xlarge,,,16.0,32.0,,0.408,0.134300,us-east-1,us-east-1a
a1.4xlarge,,,16.0,32.0,,0.408,0.134300,us-east-1,us-east-1b
a1.4xlarge,,,16.0,32.0,,0.408,0.134300,us-east-1,us-east-1c
a1.4xlarge,,,16.0,32.0,,0.408,,us-east-1,us-east-1d
a1.4xlarge,,,16.0,32.0,,0.408,,us-east-1,us-east-1e
a1.4xlarge,,,16.0,32.0,,0.408,,us-east-1,us-east-1f
a1.4xlarge,,,16.0,32.0,,0.408,0.078800,us-east-2,us-east-2a
a1.4xlarge,,,16.0,32.0,,0.408,0.080400,us-east-2,us-east-2b
a1.4xlarge,,,16.0,32.0,,0.408,,us-east-2,us-east-2c
a1.4xlarge,,,16.0,32.0,,0.408,,us-west-2,us-west-2a
a1.4xlarge,,,16.0,32.0,,0.408,0.133500,us-west-2,us-west-2b
a1.4xlarge,,,16.0,32.0,,0.408,0.133500,us-west-2,us-west-2c
a1.4xlarge,,,16.0,32.0,,0.408,,us-west-2,us-west-2d
a1.large,,,2.0,4.0,,0.0642,0.017200,ap-northeast-1,ap-northeast-1a
a1.large,,,2.0,4.0,,0.0642,,ap-northeast-1,ap-northeast-1c
a1.large,,,2.0,4.0,,0.0642,0.017200,ap-northeast-1,ap-northeast-1d
a1.large,,,2.0,4.0,,0.051,,ap-south-1,ap-south-1a
a1.large,,,2.0,4.0,,0.051,0.013700,ap-south-1,ap-south-1b
a1.large,,,2.0,4.0,,0.051,0.013700,ap-south-1,ap-south-1c
a1.large,,,2.0,4.0,,0.0588,0.016400,ap-southeast-1,ap-southeast-1a
a1.large,,,2.0,4.0,,0.0588,0.016100,ap-southeast-1,ap-southeast-1b
a1.large,,,2.0,4.0,,0.0588,,ap-southeast-1,ap-southeast-1c
a1.large,,,2.0,4.0,,0.0666,0.017900,ap-southeast-2,ap-southeast-2a
a1.large,,,2.0,4.0,,0.0666,,ap-southeast-2,ap-southeast-2b
a1.large,,,2.0,4.0,,0.0666,0.017900,ap-southeast-2,ap-southeast-2c
a1.large,,,2.0,4.0,,0.0582,0.017200,eu-central-1,eu-central-1a
a1.large,,,2.0,4.0,,0.0582,0.017200,eu-central-1,eu-central-1b
a1.large,,,2.0,4.0,,0.0582,,eu-central-1,eu-central-1c
a1.large,,,2.0,4.0,,0.0576,,eu-west-1,eu-west-1a
a1.large,,,2.0,4.0,,0.0576,0.017800,eu-west-1,eu-west-1b
a1.large,,,2.0,4.0,,0.0576,0.017800,eu-west-1,eu-west-1c
a1.large,,,2.0,4.0,,0.051,0.026000,us-east-1,us-east-1a
a1.large,,,2.0,4.0,,0.051,0.022300,us-east-1,us-east-1b
a1.large,,,2.0,4.0,,0.051,0.022300,us-east-1,us-east-1c
a1.large,,,2.0,4.0,,0.051,,us-east-1,us-east-1d
a1.large,,,2.0,4.0,,0.051,,us-east-1,us-east-1e
a1.large,,,2.0,4.0,,0.051,,us-east-1,us-east-1f
a1.large,,,2.0,4.0,,0.051,0.014400,us-east-2,us-east-2a
a1.large,,,2.0,4.0,,0.051,0.010300,us-east-2,us-east-2b
a1.large,,,2.0,4.0,,0.051,,us-east-2,us-east-2c
a1.large,,,2.0,4.0,,0.051,,us-west-2,us-west-2a
a1.large,,,2.0,4.0,,0.051,0.016700,us-west-2,us-west-2b
a1.large,,,2.0,4.0,,0.051,0.016700,us-west-2,us-west-2c
a1.large,,,2.0,4.0,,0.051,,us-west-2,us-west-2d
a1.medium,,,1.0,2.0,,0.0321,0.008600,ap-northeast-1,ap-northeast-1a
a1.medium,,,1.0,2.0,,0.0321,,ap-northeast-1,ap-northeast-1c
a1.medium,,,1.0,2.0,,0.0321,0.008600,ap-northeast-1,ap-northeast-1d
a1.medium,,,1.0,2.0,,0.0255,,ap-south-1,ap-south-1a
a1.medium,,,1.0,2.0,,0.0255,0.006800,ap-south-1,ap-south-1b
a1.medium,,,1.0,2.0,,0.0255,0.006800,ap-south-1,ap-south-1c
a1.medium,,,1.0,2.0,,0.0294,0.008100,ap-southeast-1,ap-southeast-1a
a1.medium,,,1.0,2.0,,0.0294,0.008100,ap-southeast-1,ap-southeast-1b
a1.medium,,,1.0,2.0,,0.0294,,ap-southeast-1,ap-southeast-1c
a1.medium,,,1.0,2.0,,0.0333,0.008900,ap-southeast-2,ap-southeast-2a
a1.medium,,,1.0,2.0,,0.0333,,ap-southeast-2,ap-southeast-2b
a1.medium,,,1.0,2.0,,0.0333,0.008900,ap-southeast-2,ap-southeast-2c
a1.medium,,,1.0,2.0,,0.0291,0.016200,eu-central-1,eu-central-1a
a1.medium,,,1.0,2.0,,0.0291,0.008600,eu-central-1,eu-central-1b
a1.medium,,,1.0,2.0,,0.0291,,eu-central-1,eu-central-1c
a1.medium,,,1.0,2.0,,0.0288,,eu-west-1,eu-west-1a
a1.medium,,,1.0,2.0,,0.0288,0.008900,eu-west-1,eu-west-1b
a1.medium,,,1.0,2.0,,0.0288,0.008900,eu-west-1,eu-west-1c
a1.medium,,,1.0,2.0,,0.0255,0.008400,us-east-1,us-east-1a
a1.medium,,,1.0,2.0,,0.0255,0.008400,us-east-1,us-east-1b
a1.medium,,,1.0,2.0,,0.0255,0.008400,us-east-1,us-east-1c
a1.medium,,,1.0,2.0,,0.0255,,us-east-1,us-east-1d
a1.medium,,,1.0,2.0,,0.0255,,us-east-1,us-east-1e
a1.medium,,,1.0,2.0,,0.0255,,us-east-1,us-east-1f
a1.medium,,,1.0,2.0,,0.0255,0.005000,us-east-2,us-east-2a
a1.medium,,,1.0,2.0,,0.0255,0.005100,us-east-2,us-east-2b
a1.medium,,,1.0,2.0,,0.0255,,us-east-2,us-east-2c
a1.medium,,,1.0,2.0,,0.0255,,us-west-2,us-west-2a
a1.medium,,,1.0,2.0,,0.0255,0.008300,us-west-2,us-west-2b
a1.medium,,,1.0,2.0,,0.0255,0.008300,us-west-2,us-west-2c
a1.medium,,,1.0,2.0,,0.0255,,us-west-2,us-west-2d
a1.metal,,,16.0,32.0,,0.514,0.137900,ap-northeast-1,ap-northeast-1a
a1.metal,,,16.0,32.0,,0.514,,ap-northeast-1,ap-northeast-1c
a1.metal,,,16.0,32.0,,0.514,0.137900,ap-northeast-1,ap-northeast-1d
a1.metal,,,16.0,32.0,,0.408,,ap-south-1,ap-south-1a
a1.metal,,,16.0,32.0,,0.408,0.109500,ap-south-1,ap-south-1b
a1.metal,,,16.0,32.0,,0.408,0.109500,ap-south-1,ap-south-1c
a1.metal,,,16.0,32.0,,0.47,0.129100,ap-southeast-1,ap-southeast-1a
a1.metal,,,16.0,32.0,,0.47,0.129100,ap-southeast-1,ap-southeast-1b
a1.metal,,,16.0,32.0,,0.47,,ap-southeast-1,ap-southeast-1c
a1.metal,,,16.0,32.0,,0.533,0.142900,ap-southeast-2,ap-southeast-2a
a1.metal,,,16.0,32.0,,0.533,,ap-southeast-2,ap-southeast-2b
a1.metal,,,16.0,32.0,,0.533,0.142900,ap-southeast-2,ap-southeast-2c
a1.metal,,,16.0,32.0,,0.466,0.466000,eu-central-1,eu-central-1a
a1.metal,,,16.0,32.0,,0.466,0.466000,eu-central-1,eu-central-1b
a1.metal,,,16.0,32.0,,0.466,,eu-central-1,eu-central-1c
a1.metal,,,16.0,32.0,,0.461,,eu-west-1,eu-west-1a
a1.metal,,,16.0,32.0,,0.461,0.142400,eu-west-1,eu-west-1b
a1.metal,,,16.0,32.0,,0.461,0.142400,eu-west-1,eu-west-1c
a1.metal,,,16.0,32.0,,0.408,0.134300,us-east-1,us-east-1a
a1.metal,,,16.0,32.0,,0.408,0.134500,us-east-1,us-east-1b
a1.metal,,,16.0,32.0,,0.408,0.134300,us-east-1,us-east-1c
a1.metal,,,16.0,32.0,,0.408,,us-east-1,us-east-1d
a1.metal,,,16.0,32.0,,0.408,,us-east-1,us-east-1e
a1.metal,,,16.0,32.0,,0.408,,us-east-1,us-east-1f
a1.metal,,,16.0,32.0,,0.408,0.078800,us-east-2,us-east-2a
a1.metal,,,16.0,32.0,,0.408,0.078800,us-east-2,us-east-2b
a1.metal,,,16.0,32.0,,0.408,,us-east-2,us-east-2c
a1.metal,,,16.0,32.0,,0.408,,us-west-2,us-west-2a
a1.metal,,,16.0,32.0,,0.408,0.133500,us-west-2,us-west-2b
a1.metal,,,16.0,32.0,,0.408,0.133500,us-west-2,us-west-2c
a1.metal,,,16.0,32.0,,0.408,,us-west-2,us-west-2d
a1.xlarge,,,4.0,8.0,,0.1284,0.034500,ap-northeast-1,ap-northeast-1a
a1.xlarge,,,4.0,8.0,,0.1284,,ap-northeast-1,ap-northeast-1c
a1.xlarge,,,4.0,8.0,,0.1284,0.034500,ap-northeast-1,ap-northeast-1d
a1.xlarge,,,4.0,8.0,,0.102,,ap-south-1,ap-south-1a
a1.xlarge,,,4.0,8.0,,0.102,0.027400,ap-south-1,ap-south-1b
a1.xlarge,,,4.0,8.0,,0.102,0.027400,ap-south-1,ap-south-1c
a1.xlarge,,,4.0,8.0,,0.1176,0.032700,ap-southeast-1,ap-southeast-1a
a1.xlarge,,,4.0,8.0,,0.1176,0.032300,ap-southeast-1,ap-southeast-1b
a1.xlarge,,,4.0,8.0,,0.1176,,ap-southeast-1,ap-southeast-1c
a1.xlarge,,,4.0,8.0,,0.1332,0.035700,ap-southeast-2,ap-southeast-2a
a1.xlarge,,,4.0,8.0,,0.1332,,ap-southeast-2,ap-southeast-2b
a1.xlarge,,,4.0,8.0,,0.1332,0.035700,ap-southeast-2,ap-southeast-2c
a1.xlarge,,,4.0,8.0,,0.1164,0.034400,eu-central-1,eu-central-1a
a1.xlarge,,,4.0,8.0,,0.1164,0.034400,eu-central-1,eu-central-1b
a1.xlarge,,,4.0,8.0,,0.1164,,eu-central-1,eu-central-1c
a1.xlarge,,,4.0,8.0,,0.1152,,eu-west-1,eu-west-1a
a1.xlarge,,,4.0,8.0,,0.1152,0.035600,eu-west-1,eu-west-1b
a1.xlarge,,,4.0,8.0,,0.1152,0.035600,eu-west-1,eu-west-1c
a1.xlarge,,,4.0,8.0,,0.102,0.044000,us-east-1,us-east-1a
