InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,GpuInfo,Price,SpotPrice,Region,Generation
Basic_A0,,,1.0,0.75,,0.018,0.002635,centralus,V1
Basic_A0,,,1.0,0.75,,0.018,0.002635,eastus,V1
Basic_A0,,,1.0,0.75,,0.018,0.002635,eastus2,V1
Basic_A0,,,1.0,0.75,,0.018,0.002635,northcentralus,V1
Basic_A0,,,1.0,0.75,,0.018,0.002635,southcentralus,V1
Basic_A0,,,1.0,0.75,,0.018,0.002635,westcentralus,V1
Basic_A0,,,1.0,0.75,,0.018,0.002635,westus,V1
Basic_A0,,,1.0,0.75,,0.018,0.002635,westus2,V1
Basic_A1,,,1.0,1.75,,0.025,0.00366,centralus,V1
Basic_A1,,,1.0,1.75,,0.023,0.003367,eastus,V1
Basic_A1,,,1.0,1.75,,0.024,0.003514,eastus2,V1
Basic_A1,,,1.0,1.75,,0.023,0.003367,northcentralus,V1
Basic_A1,,,1.0,1.75,,0.025,0.00366,southcentralus,V1
Basic_A1,,,1.0,1.75,,0.025,0.00366,westcentralus,V1
Basic_A1,,,1.0,1.75,,0.031,0.004538,westus,V1
Basic_A1,,,1.0,1.75,,0.023,0.003367,westus2,V1
Basic_A2,,,2.0,3.5,,0.085,0.012444,centralus,V1
Basic_A2,,,2.0,3.5,,0.079,0.011566,eastus,V1
Basic_A2,,,2.0,3.5,,0.068,0.009955,eastus2,V1
Basic_A2,,,2.0,3.5,,0.085,0.012444,northcentralus,V1
Basic_A2,,,2.0,3.5,,0.079,0.011566,southcentralus,V1
Basic_A2,,,2.0,3.5,,0.079,0.011566,westcentralus,V1
Basic_A2,,,2.0,3.5,,0.081,0.011858,westus,V1
Basic_A2,,,2.0,3.5,,0.068,0.009955,westus2,V1
Basic_A3,,,4.0,7,,0.188,0.027523,centralus,V1
Basic_A3,,,4.0,7,,0.176,0.025766,eastus,V1
Basic_A3,,,4.0,7,,0.176,0.025766,eastus2,V1
Basic_A3,,,4.0,7,,0.188,0.027523,northcentralus,V1
Basic_A3,,,4.0,7,,0.176,0.025766,southcentralus,V1
Basic_A3,,,4.0,7,,0.176,0.025766,westcentralus,V1
Basic_A3,,,4.0,7,,0.188,0.027523,westus,V1
Basic_A3,,,4.0,7,,0.176,0.025766,westus2,V1
Basic_A4,,,8.0,14,,0.376,0.055046,centralus,V1
Basic_A4,,,8.0,14,,0.352,0.051533,eastus,V1
Basic_A4,,,8.0,14,,0.352,0.051533,eastus2,V1
Basic_A4,,,8.0,14,,0.376,0.055046,northcentralus,V1
Basic_A4,,,8.0,14,,0.352,0.051533,southcentralus,V1
Basic_A4,,,8.0,14,,0.352,0.051533,westcentralus,V1
Basic_A4,,,8.0,14,,0.376,0.055046,westus,V1
Basic_A4,,,8.0,14,,0.352,0.051533,westus2,V1
Standard_A0,,,1.0,0.75,,0.02,0.002928,centralus,V1
Standard_A0,,,1.0,0.75,,0.02,0.002928,eastus,V1
Standard_A0,,,1.0,0.75,,0.02,0.002928,eastus2,V1
Standard_A0,,,1.0,0.75,,0.02,0.002928,northcentralus,V1
Standard_A0,,,1.0,0.75,,0.02,0.002928,southcentralus,V1
Standard_A0,,,1.0,0.75,,0.02,0.002928,westcentralus,V1
Standard_A0,,,1.0,0.75,,0.02,0.002928,westus,V1
Standard_A0,,,1.0,0.75,,0.02,0.002928,westus2,V1
Standard_A1,,,1.0,1.75,,0.06,0.008784,centralus,V1
Standard_A1,,,1.0,1.75,,0.06,0.008784,eastus,V1
Standard_A1,,,1.0,1.75,,0.06,0.008784,eastus2,V1
Standard_A1,,,1.0,1.75,,0.06,0.008784,northcentralus,V1
Standard_A1,,,1.0,1.75,,0.06,0.008784,southcentralus,V1
Standard_A1,,,1.0,1.75,,0.051,0.007466,westcentralus,V1
Standard_A1,,,1.0,1.75,,0.06,0.008784,westus,V1
Standard_A1,,,1.0,1.75,,0.051,0.007466,westus2,V1
Standard_A1_v2,,,1.0,2,,0.043,0.004498,centralus,V1
Standard_A1_v2,,,1.0,2,,0.043,0.017191,eastus,V1
Standard_A1_v2,,,1.0,2,,0.043,0.015446,eastus2,V1
Standard_A1_v2,,,1.0,2,,0.043,0.004322,northcentralus,V1
Standard_A1_v2,,,1.0,2,,0.043,0.007744,southcentralus,V1
Standard_A1_v2,,,1.0,2,,0.04,0.005488,westcentralus,V1
Standard_A1_v2,,,1.0,2,,0.043,0.00562,westus,V1
Standard_A1_v2,,,1.0,2,,0.036,0.005785,westus2,V1
Standard_A2,,,2.0,3.5,,0.12,0.017568,centralus,V1
Standard_A2,,,2.0,3.5,,0.12,0.017568,eastus,V1
Standard_A2,,,2.0,3.5,,0.12,0.017568,eastus2,V1
Standard_A2,,,2.0,3.5,,0.12,0.017568,northcentralus,V1
Standard_A2,,,2.0,3.5,,0.12,0.017568,southcentralus,V1
Standard_A2,,,2.0,3.5,,0.101,0.014786,westcentralus,V1
Standard_A2,,,2.0,3.5,,0.12,0.017568,westus,V1
Standard_A2,,,2.0,3.5,,0.101,0.014786,westus2,V1
Standard_A2m_v2,,,2.0,16,,0.129,0.013493,centralus,V1
Standard_A2m_v2,,,2.0,16,,0.119,0.047576,eastus,V1
Standard_A2m_v2,,,2.0,16,,0.119,0.042745,eastus2,V1
Standard_A2m_v2,,,2.0,16,,0.129,0.012964,northcentralus,V1
Standard_A2m_v2,,,2.0,16,,0.124,0.022332,southcentralus,V1
Standard_A2m_v2,,,2.0,16,,0.119,0.016327,westcentralus,V1
Standard_A2m_v2,,,2.0,16,,0.149,0.019474,westus,V1
Standard_A2m_v2,,,2.0,16,,0.099,0.015909,westus2,V1
