InstanceType,AcceleratorName,AcceleratorCount,MemoryGiB,GpuInfo,Price,SpotPrice,Region,AvailabilityZone
e2-standard-2,,,8.0,,0.067006,0.020102,us-central1,us-central1-a
e2-standard-2,,,8.0,,0.067006,0.020102,us-central1,us-central1-b
e2-standard-2,,,8.0,,0.067006,0.020102,us-central1,us-central1-c
e2-standard-2,,,8.0,,0.067006,0.020102,us-central1,us-central1-f
e2-standard-4,,,16.0,,0.134012,0.040204,us-central1,us-central1-a
e2-standard-4,,,16.0,,0.134012,0.040204,us-central1,us-central1-b
e2-standard-4,,,16.0,,0.134012,0.040204,us-central1,us-central1-c
e2-standard-4,,,16.0,,0.134012,0.040204,us-central1,us-central1-f
e2-standard-8,,,32.0,,0.268024,0.080408,us-central1,us-central1-a
e2-standard-8,,,32.0,,0.268024,0.080408,us-central1,us-central1-b
e2-standard-8,,,32.0,,0.268024,0.080408,us-central1,us-central1-c
e2-standard-8,,,32.0,,0.268024,0.080408,us-central1,us-central1-f
e2-standard-16,,,64.0,,0.536048,0.160816,us-central1,us-central1-a
e2-standard-16,,,64.0,,0.536048,0.160816,us-central1,us-central1-b
e2-standard-16,,,64.0,,0.536048,0.160816,us-central1,us-central1-c
e2-standard-16,,,64.0,,0.536048,0.160816,us-central1,us-central1-f
e2-standard-32,,,128.0,,1.072096,0.321632,us-central1,us-central1-a
e2-standard-32,,,128.0,,1.072096,0.321632,us-central1,us-central1-b
e2-standard-32,,,128.0,,1.072096,0.321632,us-central1,us-central1-c
e2-standard-32,,,128.0,,1.072096,0.321632,us-central1,us-central1-f
e2-highmem-2,,,16.0,,0.09039,0.027118,us-central1,us-central1-a
e2-highmem-2,,,16.0,,0.09039,0.027118,us-central1,us-central1-b
e2-highmem-2,,,16.0,,0.09039,0.027118,us-central1,us-central1-c
e2-highmem-2,,,16.0,,0.09039,0.027118,us-central1,us-central1-f
e2-highmem-4,,,32.0,,0.18078,0.054236,us-central1,us-central1-a
e2-highmem-4,,,32.0,,0.18078,0.054236,us-central1,us-central1-b
e2-highmem-4,,,32.0,,0.18078,0.054236,us-central1,us-central1-c
e2-highmem-4,,,32.0,,0.18078,0.054236,us-central1,us-central1-f
e2-highmem-8,,,64.0,,0.36156,0.108472,us-central1,us-central1-a
e2-highmem-8,,,64.0,,0.36156,0.108472,us-central1,us-central1-b
