InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,GpuInfo,Price,SpotPrice,Region,AvailabilityZone
a1.2xlarge,,,8.0,16.0,,0.204,0.067100,us-east-1,us-east-1a
a1.2xlarge,,,8.0,16.0,,0.204,0.067500,us-east-1,us-east-1b
a1.2xlarge,,,8.0,16.0,,0.204,0.067100,us-east-1,us-east-1c
a1.2xlarge,,,8.0,16.0,,0.204,,us-east-1,us-east-1d
a1.2xlarge,,,8.0,16.0,,0.204,,us-east-1,us-east-1e
a1.2xlarge,,,8.0,16.0,,0.204,,us-east-1,us-east-1f
a1.2xlarge,,,8.0,16.0,,0.204,0.039800,us-east-2,us-east-2a
a1.2xlarge,,,8.0,16.0,,0.204,0.039400,us-east-2,us-east-2b
a1.2xlarge,,,8.0,16.0,,0.204,,us-east-2,us-east-2c
a1.2xlarge,,,8.0,16.0,,0.204,,us-west-2,us-west-2a
a1.2xlarge,,,8.0,16.0,,0.204,0.066700,us-west-2,us-west-2b
a1.2xlarge,,,8.0,16.0,,0.204,0.066700,us-west-2,us-west-2c
a1.2xlarge,,,8.0,16.0,,0.204,,us-west-2,us-west-2d
a1.4xlarge,,,16.0,32.0,,0.408,0.135900,us-east-1,us-east-1a
a1.4xlarge,,,16.0,32.0,,0.408,0.134300,us-east-1,us-east-1b
a1.4xlarge,,,16.0,32.0,,0.408,0.134300,us-east-1,us-east-1c
a1.4xlarge,,,16.0,32.0,,0.408,,us-east-1,us-east-1d
a1.4xlarge,,,16.0,32.0,,0.408,,us-east-1,us-east-1e
a1.4xlarge,,,16.0,32.0,,0.408,,us-east-1,us-east-1f
a1.4xlarge,,,16.0,32.0,,0.408,0.078800,us-east-2,us-east-2a
a1.4xlarge,,,16.0,32.0,,0.408,0.080600,us-east-2,us-east-2b
a1.4xlarge,,,16.0,32.0,,0.408,,us-east-2,us-east-2c
a1.4xlarge,,,16.0,32.0,,0.408,,us-west-2,us-west-2a
a1.4xlarge,,,16.0,32.0,,0.408,0.133500,us-west-2,us-west-2b
a1.4xlarge,,,16.0,32.0,,0.408,0.133500,us-west-2,us-west-2c
a1.4xlarge,,,16.0,32.0,,0.408,,us-west-2,us-west-2d
a1.large,,,2.0,4.0,,0.051,0.024900,us-east-1,us-east-1a
a1.large,,,2.0,4.0,,0.051,0.023000,us-east-1,us-east-1b
a1.large,,,2.0,4.0,,0.051,0.023100,us-east-1,us-east-1c
