Tag,Region,OS,OSVersion,ImageId,CreationDate
skypilot:gpu-ubuntu-1804,us-east-1,ubuntu,18.04,ami-0fb70a87623506e3e,20220308
skypilot:gpu-ubuntu-1804,us-east-2,ubuntu,18.04,ami-0de64030b0d6bd95f,20220308
skypilot:gpu-ubuntu-1804,us-west-1,ubuntu,18.04,ami-03a051405777cd7d1,20220308
skypilot:gpu-ubuntu-1804,us-west-2,ubuntu,18.04,ami-03e40ee6f58eea284,20220308
skypilot:gpu-ubuntu-1804,ca-central-1,ubuntu,18.04,ami-09b4304febaa43d9d,20220308
skypilot:gpu-ubuntu-1804,eu-central-1,ubuntu,18.04,ami-04ac1d1e2d7e0890b,20220308
skypilot:gpu-ubuntu-1804,eu-west-1,ubuntu,18.04,ami-0dcc674f6d9067b6a,20220308
skypilot:gpu-ubuntu-1804,eu-west-2,ubuntu,18.04,ami-0298fe2065808a563,20220308
skypilot:gpu-ubuntu-1804,eu-west-3,ubuntu,18.04,ami-0bb60d50a139be5f2,20220308
skypilot:gpu-ubuntu-1804,eu-north-1,ubuntu,18.04,ami-0fae225c11f949cd4,20220308
skypilot:gpu-ubuntu-1804,ap-east-1,ubuntu,18.04,ami-0fadabfee71edec6d,20220308
skypilot:gpu-ubuntu-1804,ap-south-1,ubuntu,18.04,ami-0956455879fd05778,20220308
skypilot:gpu-ubuntu-1804,ap-northeast-3,ubuntu,18.04,ami-0f1a0043c65e26c63,20220308
skypilot:gpu-ubuntu-1804,ap-northeast-2,ubuntu,18.04,ami-08bc77cba2a571c57,20220308
skypilot:gpu-ubuntu-1804,ap-southeast-1,ubuntu,18.04,ami-07763b0315485f955,20220308
skypilot:gpu-ubuntu-1804,ap-southeast-2,ubuntu,18.04,ami-058403efd2ad2d7af,20220308
skypilot:gpu-ubuntu-1804,ap-northeast-1,ubuntu,18.04,ami-0fe19c5fd72bd95a3,20220308
skypilot:gpu-ubuntu-2004,us-east-1,ubuntu,20.04,ami-0729d913a335efca7,20220308
