InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,GpuInfo,Price,SpotPrice,Region,Generation
Standard_A1_v2,,,1.0,2.0,,0.043,0.005203,eastus,V1
Standard_A1_v2,,,1.0,2.0,,0.043,0.005203,southcentralus,V1
Standard_A1_v2,,,1.0,2.0,,0.036,0.004356,westus3,V1
Standard_A1_v2,,,1.0,2.0,,0.043,0.005203,centralus,V1
Standard_A1_v2,,,1.0,2.0,,0.04,0.0056,westcentralus,V1
Standard_A1_v2,,,1.0,2.0,,0.043,0.00602,northcentralus,V1
Standard_A1_v2,,,1.0,2.0,,0.043,0.005203,westus,V1
Standard_A1_v2,,,1.0,2.0,,0.043,0.00602,eastus2,V1
Standard_A1_v2,,,1.0,2.0,,0.036,0.00504,westus2,V1
Standard_A2_v2,,,2.0,4.0,,0.076,0.009196,westus3,V1
Standard_A2_v2,,,2.0,4.0,,0.0756,0.010584,westus2,V1
Standard_A2_v2,,,2.0,4.0,,0.0903,0.012642,northcentralus,V1
Standard_A2_v2,,,2.0,4.0,,0.0903,0.010926,westus,V1
Standard_A2_v2,,,2.0,4.0,,0.0903,0.012642,eastus2,V1
Standard_A2_v2,,,2.0,4.0,,0.0903,0.010926,southcentralus,V1
Standard_A2_v2,,,2.0,4.0,,0.083,0.01162,westcentralus,V1
Standard_A2_v2,,,2.0,4.0,,0.0903,0.010926,centralus,V1
Standard_A2_v2,,,2.0,4.0,,0.0903,0.010926,eastus,V1
Standard_A2m_v2,,,2.0,16.0,,0.119,0.014399,westus,V1
Standard_A2m_v2,,,2.0,16.0,,0.11,0.0154,westcentralus,V1
Standard_A2m_v2,,,2.0,16.0,,0.119,0.01666,eastus2,V1
Standard_A2m_v2,,,2.0,16.0,,0.119,0.01666,northcentralus,V1
Standard_A2m_v2,,,2.0,16.0,,0.119,0.014399,eastus,V1
Standard_A2m_v2,,,2.0,16.0,,0.099,0.011979,westus3,V1
Standard_A2m_v2,,,2.0,16.0,,0.119,0.014399,centralus,V1
Standard_A2m_v2,,,2.0,16.0,,0.119,0.014399,southcentralus,V1
Standard_A2m_v2,,,2.0,16.0,,0.099,0.01386,westus2,V1
Standard_A4_v2,,,4.0,8.0,,0.191,0.02674,eastus2,V1
Standard_A4_v2,,,4.0,8.0,,0.159,0.02226,westus2,V1
Standard_A4_v2,,,4.0,8.0,,0.191,0.02674,northcentralus,V1
Standard_A4_v2,,,4.0,8.0,,0.191,0.023111,eastus,V1
Standard_A4_v2,,,4.0,8.0,,0.175,0.0245,westcentralus,V1
Standard_A4_v2,,,4.0,8.0,,0.191,0.023111,southcentralus,V1
Standard_A4_v2,,,4.0,8.0,,0.191,0.023111,westus,V1
Standard_A4_v2,,,4.0,8.0,,0.191,0.023111,centralus,V1
Standard_A4_v2,,,4.0,8.0,,0.159,0.019239,westus3,V1
Standard_A4m_v2,,,4.0,32.0,,0.237,0.028677,westus,V1
Standard_A4m_v2,,,4.0,32.0,,0.199,0.02786,westus2,V1
Standard_A4m_v2,,,4.0,32.0,,0.208,0.025168,westus3,V1
Standard_A4m_v2,,,4.0,32.0,,0.237,0.03318,northcentralus,V1
