InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,GpuInfo,Price,SpotPrice,Region,Generation
Basic_A0,,,1.0,0.75,,0.018,0.005135,centralus,V1
Basic_A0,,,1.0,0.75,,0.018,0.005135,eastus,V1
Basic_A0,,,1.0,0.75,,0.018,0.005135,eastus2,V1
Basic_A0,,,1.0,0.75,,0.018,0.005135,northcentralus,V1
Basic_A0,,,1.0,0.75,,0.018,0.005135,southcentralus,V1
Basic_A0,,,1.0,0.75,,0.018,0.005135,westcentralus,V1
Basic_A0,,,1.0,0.75,,0.018,0.005135,westus,V1
Basic_A0,,,1.0,0.75,,0.018,0.005135,westus2,V1
Basic_A1,,,1.0,1.75,,0.025,0.007132,centralus,V1
Basic_A1,,,1.0,1.75,,0.023,0.006562,eastus,V1
Basic_A1,,,1.0,1.75,,0.024,0.00685,eastus2,V1
Basic_A1,,,1.0,1.75,,0.023,0.006562,northcentralus,V1
Basic_A1,,,1.0,1.75,,0.025,0.007132,southcentralus,V1
Basic_A1,,,1.0,1.75,,0.025,0.007132,westcentralus,V1
Basic_A1,,,1.0,1.75,,0.031,0.008844,westus,V1
Basic_A1,,,1.0,1.75,,0.023,0.006562,westus2,V1
Basic_A2,,,2.0,3.5,,0.085,0.02425,centralus,V1
Basic_A2,,,2.0,3.5,,0.079,0.022539,eastus,V1
Basic_A2,,,2.0,3.5,,0.068,0.0194,eastus2,V1
Basic_A2,,,2.0,3.5,,0.085,0.02425,northcentralus,V1
Basic_A2,,,2.0,3.5,,0.079,0.022539,southcentralus,V1
Basic_A2,,,2.0,3.5,,0.079,0.022539,westcentralus,V1
Basic_A2,,,2.0,3.5,,0.081,0.023109,westus,V1
Basic_A2,,,2.0,3.5,,0.068,0.0194,westus2,V1
Basic_A3,,,4.0,7,,0.188,0.053636,centralus,V1
Basic_A3,,,4.0,7,,0.176,0.050213,eastus,V1
Basic_A3,,,4.0,7,,0.176,0.050213,eastus2,V1
Basic_A3,,,4.0,7,,0.188,0.053636,northcentralus,V1
Basic_A3,,,4.0,7,,0.176,0.050213,southcentralus,V1
Basic_A3,,,4.0,7,,0.176,0.050213,westcentralus,V1
Basic_A3,,,4.0,7,,0.188,0.053636,westus,V1
Basic_A3,,,4.0,7,,0.176,0.050213,westus2,V1
Basic_A4,,,8.0,14,,0.376,0.107273,centralus,V1
Basic_A4,,,8.0,14,,0.352,0.100426,eastus,V1
Basic_A4,,,8.0,14,,0.352,0.100426,eastus2,V1
Basic_A4,,,8.0,14,,0.376,0.107273,northcentralus,V1
Basic_A4,,,8.0,14,,0.352,0.100426,southcentralus,V1
Basic_A4,,,8.0,14,,0.352,0.100426,westcentralus,V1
Basic_A4,,,8.0,14,,0.376,0.107273,westus,V1
Basic_A4,,,8.0,14,,0.352,0.100426,westus2,V1
