Tag,Region,OS,OSVersion,ImageId,AppCatalogListingId,ResourceVersion
skypilot:gpu-ubuntu-2004,,ubuntu,20.04,ocid1.image.oc1..aaaaaaaaupqzeltt5xqtbtf3mspimqam4ozpmt3r3o5zyg2xg7u5hevlvpaq,ocid1.appcataloglisting.oc1..aaaaaaaapnjluswlxhczeqgao6t737bepuvrvh5tfrlhy2lmalh6bh2fr4hq,20230425
skypilot:cpu-ubuntu-2004,af-johannesburg-1,ubuntu,20.04,ocid1.image.oc1.af-johannesburg-1.aaaaaaaa4mxkwohozyffounblnodpikbpjas3im4tq5s4bihyjnybbtqxuoa,,20230318
skypilot:cpu-ubuntu-2004,ap-chuncheon-1,ubuntu,20.04,ocid1.image.oc1.ap-chuncheon-1.aaaaaaaaiwqxx3boumo5vnnje2s5czhn6kq7fm245tpmjhazwla2aythx54a,,20230318
skypilot:cpu-ubuntu-2004,ap-hyderabad-1,ubuntu,20.04,ocid1.image.oc1.ap-hyderabad-1.aaaaaaaajnlcphciytecqrky6c52fpb5acnjczjgrwighlo6zye5j4ufctsa,,20230318
skypilot:cpu-ubuntu-2004,ap-melbourne-1,ubuntu,20.04,ocid1.image.oc1.ap-melbourne-1.aaaaaaaa6nlxefmbobiirmcakrooozlusn3ciqjbhs46np3gr5vddvigp2rq,,20230318
skypilot:cpu-ubuntu-2004,ap-mumbai-1,ubuntu,20.04,ocid1.image.oc1.ap-mumbai-1.aaaaaaaapu3m2bzkj4ikh53epafhxd2h7dzbyqvprky4gbwtlycru554ypba,,20230318
skypilot:cpu-ubuntu-2004,ap-osaka-1,ubuntu,20.04,ocid1.image.oc1.ap-osaka-1.aaaaaaaauutsfmtatswxmhzztuxpqxqbon2tghn4qnhaanq7ymexi3gdbxlq,,20230318
skypilot:cpu-ubuntu-2004,ap-seoul-1,ubuntu,20.04,ocid1.image.oc1.ap-seoul-1.aaaaaaaafbcowzw7dsvqqq7j7npkaiqq2hksunlcdwwgy3vcinw6iyp7fngq,,20230318
skypilot:cpu-ubuntu-2004,ap-singapore-1,ubuntu,20.04,ocid1.image.oc1.ap-singapore-1.aaaaaaaaabz5cp5zkrvmftn4t6uhaczxzyulwqlc3tpytl6ny7nwe7xknf6a,,20230318
skypilot:cpu-ubuntu-2004,ap-sydney-1,ubuntu,20.04,ocid1.image.oc1.ap-sydney-1.aaaaaaaajhfg655mec4wi6trgjo4rrfrq3mngz2jkkhclyban5neoqktxdkq,,20230318
