InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,GpuInfo,Region,SpotPrice,Price
H100,H100,1.0,15.0,80.0,H100,East Coast (NY2),,5.95
H100x8,H100,8.0,128.0,640.0,H100,East Coast (NY2),,47.60
A100-80GBx8,A100-80GB,8.0,96,640.0,A100,East Coast (NY2),,25.44
A100-80GB,A100-80GB,1.0,12,80.0,A100,East Coast (NY2),,3.18
A100x4,A100,4.0,48,160.0,A100,East Coast (NY2),,12.36
A100,A100,1.0,12,80.0,A100,East Coast (NY2),,3.09
V100-32GBx4,V100-32GB,4.0,32,128.0,V100-32GB,East Coast (NY2),,9.20
V100-32GBx2,V100-32GB,2.0,16,64.0,V100-32GB,East Coast (NY2),,4.60
V100-32GB,V100-32GB,1.0,8,32.0,V100-32GB,East Coast (NY2),,2.30
V100,V100,1.0,8,32.0,V100-32GB,East Coast (NY2),,2.30
