InstanceType,vCPUs,MemoryGiB,AcceleratorName,AcceleratorCount,GpuInfo,Region,Price,SpotPrice
1x_RTXA6000_COMMUNITY,4.0,48.0,RTXA6000,1.0,RTX_A6000,US,0.69,0.34
1x_RTXA6000_SECURE,4.0,48.0,RTXA6000,1.0,RTX_A6000,US,0.79,0.49
2x_RTXA6000_COMMUNITY,8.0,96.0,RTXA6000,2.0,RTX_A6000,US,1.38,0.68
2x_RTXA6000_SECURE,8.0,96.0,RTXA6000,2.0,RTX_A6000,US,1.58,0.98
4x_RTXA6000_COMMUNITY,16.0,192.0,RTXA6000,4.0,RTX_A6000,US,2.76,1.36
4x_RTXA6000_SECURE,16.0,192.0,RTXA6000,4.0,RTX_A6000,US,3.16,1.96
8x_RTXA6000_COMMUNITY,32.0,384.0,RTXA6000,8.0,RTX_A6000,US,5.52,2.72
8x_RTXA6000_SECURE,32.0,384.0,RTXA6000,8.0,RTX_A6000,US,6.32,3.92
1x_RTXA5000_COMMUNITY,4.0,24.0,RTXA5000,1.0,RTX_A5000,NO,0.34,0.18
2x_RTXA5000_COMMUNITY,8.0,48.0,RTXA5000,2.0,RTX_A5000,NO,0.68,0.36
4x_RTXA5000_COMMUNITY,16.0,96.0,RTXA5000,4.0,RTX_A5000,NO,1.36,0.72
8x_RTXA5000_COMMUNITY,32.0,192.0,RTXA5000,8.0,RTX_A5000,NO,2.72,1.44
1x_RTXA4000_COMMUNITY,4.0,16.0,RTXA4000,1.0,RTX_A4000,NO,0.27,0.16
2x_RTXA4000_COMMUNITY,8.0,32.0,RTXA4000,2.0,RTX_A4000,NO,0.54,0.32
4x_RTXA4000_COMMUNITY,16.0,64.0,RTXA4000,4.0,RTX_A4000,NO,1.08,0.64
8x_RTXA4000_COMMUNITY,32.0,128.0,RTXA4000,8.0,RTX_A4000,NO,2.16,1.28
1x_RTXA6000_COMMUNITY,4.0,48.0,RTXA6000,1.0,RTX_A6000,CA,0.69,0.34
1x_RTXA6000_SECURE,4.0,48.0,RTXA6000,1.0,RTX_A6000,CA,0.79,0.49
2x_RTXA6000_COMMUNITY,8.0,96.0,RTXA6000,2.0,RTX_A6000,CA,1.38,0.68
2x_RTXA6000_SECURE,8.0,96.0,RTXA6000,2.0,RTX_A6000,CA,1.58,0.98
4x_RTXA6000_COMMUNITY,16.0,192.0,RTXA6000,4.0,RTX_A6000,CA,2.76,1.36
4x_RTXA6000_SECURE,16.0,192.0,RTXA6000,4.0,RTX_A6000,CA,3.16,1.96
8x_RTXA6000_COMMUNITY,32.0,384.0,RTXA6000,8.0,RTX_A6000,CA,5.52,2.72
8x_RTXA6000_SECURE,32.0,384.0,RTXA6000,8.0,RTX_A6000,CA,6.32,3.92
1x_L40_SECURE,4.0,48.0,L40,1.0,L40,US,1.14,0.69
2x_L40_SECURE,8.0,96.0,L40,2.0,L40,US,2.28,1.38
4x_L40_SECURE,16.0,192.0,L40,4.0,L40,US,4.56,2.76
8x_L40_SECURE,32.0,384.0,L40,8.0,L40,US,9.12,5.52
1x_A100-80GB_COMMUNITY,4.0,80.0,A100-80GB,1.0,A100_80GB,CA,1.69,0.89
2x_A100-80GB_COMMUNITY,8.0,160.0,A100-80GB,2.0,A100_80GB,CA,3.38,1.78
4x_A100-80GB_COMMUNITY,16.0,320.0,A100-80GB,4.0,A100_80GB,CA,6.76,3.56
8x_A100-80GB_COMMUNITY,32.0,640.0,A100-80GB,8.0,A100_80GB,CA,13.52,7.12
1x_A100-80GB_COMMUNITY,4.0,80.0,A100-80GB,1.0,A100_80GB,US,1.69,0.89
2x_A100-80GB_COMMUNITY,8.0,160.0,A100-80GB,2.0,A100_80GB,US,3.38,1.78
4x_A100-80GB_COMMUNITY,16.0,320.0,A100-80GB,4.0,A100_80GB,US,6.76,3.56
8x_A100-80GB_COMMUNITY,32.0,640.0,A100-80GB,8.0,A100_80GB,US,13.52,7.12
1x_RTXA6000_COMMUNITY,4.0,48.0,RTXA6000,1.0,RTX_A6000,SE,0.69,0.34
1x_RTXA6000_SECURE,4.0,48.0,RTXA6000,1.0,RTX_A6000,SE,0.79,0.49
2x_RTXA6000_COMMUNITY,8.0,96.0,RTXA6000,2.0,RTX_A6000,SE,1.38,0.68
2x_RTXA6000_SECURE,8.0,96.0,RTXA6000,2.0,RTX_A6000,SE,1.58,0.98
4x_RTXA6000_COMMUNITY,16.0,192.0,RTXA6000,4.0,RTX_A6000,SE,2.76,1.36
4x_RTXA6000_SECURE,16.0,192.0,RTXA6000,4.0,RTX_A6000,SE,3.16,1.96
8x_RTXA6000_COMMUNITY,32.0,384.0,RTXA6000,8.0,RTX_A6000,SE,5.52,2.72
8x_RTXA6000_SECURE,32.0,384.0,RTXA6000,8.0,RTX_A6000,SE,6.32,3.92
1x_RTXA4000_COMMUNITY,4.0,16.0,RTXA4000,1.0,RTX_A4000,CA,0.27,0.16
2x_RTXA4000_COMMUNITY,8.0,32.0,RTXA4000,2.0,RTX_A4000,CA,0.54,0.32
4x_RTXA4000_COMMUNITY,16.0,64.0,RTXA4000,4.0,RTX_A4000,CA,1.08,0.64
8x_RTXA4000_COMMUNITY,32.0,128.0,RTXA4000,8.0,RTX_A4000,CA,2.16,1.28
1x_RTXA5000_COMMUNITY,4.0,24.0,RTXA5000,1.0,RTX_A5000,SE,0.34,0.18
2x_RTXA5000_COMMUNITY,8.0,48.0,RTXA5000,2.0,RTX_A5000,SE,0.68,0.36
4x_RTXA5000_COMMUNITY,16.0,96.0,RTXA5000,4.0,RTX_A5000,SE,1.36,0.72
8x_RTXA5000_COMMUNITY,32.0,192.0,RTXA5000,8.0,RTX_A5000,SE,2.72,1.44
1x_RTXA5000_COMMUNITY,4.0,24.0,RTXA5000,1.0,RTX_A5000,FR,0.34,0.18
2x_RTXA5000_COMMUNITY,8.0,48.0,RTXA5000,2.0,RTX_A5000,FR,0.68,0.36
4x_RTXA5000_COMMUNITY,16.0,96.0,RTXA5000,4.0,RTX_A5000,FR,1.36,0.72
8x_RTXA5000_COMMUNITY,32.0,192.0,RTXA5000,8.0,RTX_A5000,FR,2.72,1.44
1x_A100-80GB_COMMUNITY,4.0,80.0,A100-80GB,1.0,A100_80GB,RO,1.69,0.89
2x_A100-80GB_COMMUNITY,8.0,160.0,A100-80GB,2.0,A100_80GB,RO,3.38,1.78
4x_A100-80GB_COMMUNITY,16.0,320.0,A100-80GB,4.0,A100_80GB,RO,6.76,3.56
8x_A100-80GB_COMMUNITY,32.0,640.0,A100-80GB,8.0,A100_80GB,RO,13.52,7.12
1x_RTXA6000_COMMUNITY,4.0,48.0,RTXA6000,1.0,RTX_A6000,FR,0.69,0.34
1x_RTXA6000_SECURE,4.0,48.0,RTXA6000,1.0,RTX_A6000,FR,0.79,0.49
2x_RTXA6000_COMMUNITY,8.0,96.0,RTXA6000,2.0,RTX_A6000,FR,1.38,0.68
2x_RTXA6000_SECURE,8.0,96.0,RTXA6000,2.0,RTX_A6000,FR,1.58,0.98
4x_RTXA6000_COMMUNITY,16.0,192.0,RTXA6000,4.0,RTX_A6000,FR,2.76,1.36
4x_RTXA6000_SECURE,16.0,192.0,RTXA6000,4.0,RTX_A6000,FR,3.16,1.96
8x_RTXA6000_COMMUNITY,32.0,384.0,RTXA6000,8.0,RTX_A6000,FR,5.52,2.72
8x_RTXA6000_SECURE,32.0,384.0,RTXA6000,8.0,RTX_A6000,FR,6.32,3.92
1x_RTXA5000_COMMUNITY,4.0,24.0,RTXA5000,1.0,RTX_A5000,CZ,0.34,0.18
2x_RTXA5000_COMMUNITY,8.0,48.0,RTXA5000,2.0,RTX_A5000,CZ,0.68,0.36
4x_RTXA5000_COMMUNITY,16.0,96.0,RTXA5000,4.0,RTX_A5000,CZ,1.36,0.72
8x_RTXA5000_COMMUNITY,32.0,192.0,RTXA5000,8.0,RTX_A5000,CZ,2.72,1.44
1x_A40_COMMUNITY,4.0,48.0,A40,1.0,A40,HR,0.69,0.34
2x_A40_COMMUNITY,8.0,96.0,A40,2.0,A40,HR,1.38,0.68
4x_A40_COMMUNITY,16.0,192.0,A40,4.0,A40,HR,2.76,1.36
8x_A40_COMMUNITY,32.0,384.0,A40,8.0,A40,HR,5.52,2.72
1x_RTX4090_COMMUNITY,4.0,24.0,RTX4090,1.0,RTX_4090,CZ,0.64,0.29
1x_RTX4090_SECURE,4.0,24.0,RTX4090,1.0,RTX_4090,CZ,0.74,0.39
2x_RTX4090_COMMUNITY,8.0,48.0,RTX4090,2.0,RTX_4090,CZ,1.28,0.58
2x_RTX4090_SECURE,8.0,48.0,RTX4090,2.0,RTX_4090,CZ,1.48,0.78
4x_RTX4090_COMMUNITY,16.0,96.0,RTX4090,4.0,RTX_4090,CZ,2.56,1.16
4x_RTX4090_SECURE,16.0,96.0,RTX4090,4.0,RTX_4090,CZ,2.96,1.56
8x_RTX4090_COMMUNITY,32.0,192.0,RTX4090,8.0,RTX_4090,CZ,5.12,2.32
8x_RTX4090_SECURE,32.0,192.0,RTX4090,8.0,RTX_4090,CZ,5.92,3.12
1x_RTXA4000_COMMUNITY,4.0,16.0,RTXA4000,1.0,RTX_A4000,US,0.27,0.16
2x_RTXA4000_COMMUNITY,8.0,32.0,RTXA4000,2.0,RTX_A4000,US,0.54,0.32
4x_RTXA4000_COMMUNITY,16.0,64.0,RTXA4000,4.0,RTX_A4000,US,1.08,0.64
8x_RTXA4000_COMMUNITY,32.0,128.0,RTXA4000,8.0,RTX_A4000,US,2.16,1.28
1x_RTX6000-Ada_COMMUNITY,4.0,48.0,RTX6000-Ada,1.0,RTX_6000_Ada,US,0.99,0.69
2x_RTX6000-Ada_COMMUNITY,8.0,96.0,RTX6000-Ada,2.0,RTX_6000_Ada,US,1.98,1.38
4x_RTX6000-Ada_COMMUNITY,16.0,192.0,RTX6000-Ada,4.0,RTX_6000_Ada,US,3.96,2.76
8x_RTX6000-Ada_COMMUNITY,32.0,384.0,RTX6000-Ada,8.0,RTX_6000_Ada,US,7.92,5.52
1x_RTX3090_COMMUNITY,4.0,24.0,RTX3090,1.0,RTX_3090,US,0.34,0.19
2x_RTX3090_COMMUNITY,8.0,48.0,RTX3090,2.0,RTX_3090,US,0.68,0.38
4x_RTX3090_COMMUNITY,16.0,96.0,RTX3090,4.0,RTX_3090,US,1.36,0.76
8x_RTX3090_COMMUNITY,32.0,192.0,RTX3090,8.0,RTX_3090,US,2.72,1.52
1x_RTX3090_COMMUNITY,4.0,24.0,RTX3090,1.0,RTX_3090,CZ,0.34,0.19
2x_RTX3090_COMMUNITY,8.0,48.0,RTX3090,2.0,RTX_3090,CZ,0.68,0.38
4x_RTX3090_COMMUNITY,16.0,96.0,RTX3090,4.0,RTX_3090,CZ,1.36,0.76
8x_RTX3090_COMMUNITY,32.0,192.0,RTX3090,8.0,RTX_3090,CZ,2.72,1.52
1x_A30_COMMUNITY,4.0,24.0,A30,1.0,A30,NL,0.34,0.24
2x_A30_COMMUNITY,8.0,48.0,A30,2.0,A30,NL,0.68,0.48
4x_A30_COMMUNITY,16.0,96.0,A30,4.0,A30,NL,1.36,0.96
8x_A30_COMMUNITY,32.0,192.0,A30,8.0,A30,NL,2.72,1.92
1x_RTX4090_COMMUNITY,4.0,24.0,RTX4090,1.0,RTX_4090,SE,0.64,0.29
1x_RTX4090_SECURE,4.0,24.0,RTX4090,1.0,RTX_4090,SE,0.74,0.39
2x_RTX4090_COMMUNITY,8.0,48.0,RTX4090,2.0,RTX_4090,SE,1.28,0.58
2x_RTX4090_SECURE,8.0,48.0,RTX4090,2.0,RTX_4090,SE,1.48,0.78
4x_RTX4090_COMMUNITY,16.0,96.0,RTX4090,4.0,RTX_4090,SE,2.56,1.16
4x_RTX4090_SECURE,16.0,96.0,RTX4090,4.0,RTX_4090,SE,2.96,1.56
8x_RTX4090_COMMUNITY,32.0,192.0,RTX4090,8.0,RTX_4090,SE,5.12,2.32
8x_RTX4090_SECURE,32.0,192.0,RTX4090,8.0,RTX_4090,SE,5.92,3.12
1x_H100-80GB-HBM3_COMMUNITY,4.0,80.0,H100-80GB-HBM3,1.0,H100_80GB_SXM5,US,4.49,2.49
2x_H100-80GB-HBM3_COMMUNITY,8.0,160.0,H100-80GB-HBM3,2.0,H100_80GB_SXM5,US,8.98,4.98
4x_H100-80GB-HBM3_COMMUNITY,16.0,320.0,H100-80GB-HBM3,4.0,H100_80GB_SXM5,US,17.96,9.96
8x_H100-80GB-HBM3_COMMUNITY,32.0,640.0,H100-80GB-HBM3,8.0,H100_80GB_SXM5,US,35.92,19.92
