InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,Region
ECS1GPU2,A6000,1,8,32,0.74,it-fr2
ECS2GPU2,A6000,2,16,64,1.48,it-fr2
ECS3GPU2,A6000,4,32,128,2.96,it-fr2
ECS1GPU3,A100-80G,1,16,120,1.89,it-fr2
ECS2GPU3,A100-80G,2,32,240,3.78,it-fr2
ECS3GPU3,A100-80G,4,64,480,7.56,it-fr2
ECS1GPU6,L4,1,4,32,0.38,it-fr2
ECS2GPU6,L4,2,8,64,0.76,it-fr2
ECS3GPU6,L4,4,16,128,1.52,it-fr2
ECS4GPU6,L4,8,32,256,3.04,it-fr2
ECS1GPU7,L40S,1,8,32,0.85,it-fr2
ECS2GPU7,L40S,2,16,64,1.7,it-fr2
ECS3GPU7,L40S,4,32,128,3.4,it-fr2
ECS4GPU7,L40S,8,64,256,6.8,it-fr2
ECS1GPU8,A100-80GB-SXM,4,64,1024,8.4,it-fr2
eCS1,,,1,1,0.019,it-fr2
eCS2,,,2,2,0.032,it-fr2
eCS3,,,4,4,0.048,it-fr2
eCS4,,,4,8,0.063,it-fr2
eCS5,,,8,16,0.127,it-fr2
eCS6,,,12,24,0.152,it-fr2
eCS1HM,,,4,64,0.217,it-fr2
eCS2HM,,,8,128,0.434,it-fr2
eCS3HM,,,16,256,0.719,it-fr2
eCS4HM,,,32,512,1.338,it-fr2
eCS5HM,,,32,1024,2.537,it-fr2
eCS1,,,1,1,0.019,it-mi2
eCS2,,,2,2,0.032,it-mi2
eCS3,,,4,4,0.048,it-mi2
eCS4,,,4,8,0.063,it-mi2
eCS5,,,8,16,0.127,it-mi2
eCS6,,,12,24,0.152,it-mi2
eCS1HM,,,4,64,0.217,it-mi2
eCS2HM,,,8,128,0.434,it-mi2
eCS3HM,,,16,256,0.719,it-mi2
eCS4HM,,,32,512,1.338,it-mi2
eCS5HM,,,32,1024,2.537,it-mi2
eCS1,,,1,1,0.019,ch-lug1
eCS2,,,2,2,0.032,ch-lug1
eCS3,,,4,4,0.048,ch-lug1
eCS4,,,4,8,0.063,ch-lug1
eCS5,,,8,16,0.127,ch-lug1
eCS6,,,12,24,0.152,ch-lug1
eCS1HM,,,4,64,0.217,ch-lug1
eCS2HM,,,8,128,0.434,ch-lug1
eCS3HM,,,16,256,0.719,ch-lug1
eCS4HM,,,32,512,1.338,ch-lug1
eCS5HM,,,32,1024,2.537,ch-lug1
eCS1,,,1,1,0.019,bg-sof1
eCS2,,,2,2,0.032,bg-sof1
eCS3,,,4,4,0.048,bg-sof1
eCS4,,,4,8,0.063,bg-sof1
eCS5,,,8,16,0.127,bg-sof1
eCS6,,,12,24,0.152,bg-sof1
eCS1HM,,,4,64,0.217,bg-sof1
eCS2HM,,,8,128,0.434,bg-sof1
eCS3HM,,,16,256,0.719,bg-sof1
eCS4HM,,,32,512,1.338,bg-sof1
eCS5HM,,,32,1024,2.537,bg-sof1
