InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,Region,GpuInfo,SpotPrice
1x-RTX_4090-256,RTX 4090,1,256,23.98828125,0.27,"Vietnam, VN","{'Gpus': [{'Name': 'RTX 4090', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 24564}}], 'TotalGpuMemoryInMiB': 24564}",0.27
1x-RTX_4090-256,RTX 4090,1,256,23.98828125,0.41,"Spain, ES","{'Gpus': [{'Name': 'RTX 4090', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 24564}}], 'TotalGpuMemoryInMiB': 24564}",0.41
1x-RTX_4090-192,RTX 4090,1,192,23.98828125,0.40,"Spain, ES","{'Gpus': [{'Name': 'RTX 4090', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 24564}}], 'TotalGpuMemoryInMiB': 24564}",0.40
1x-RTX_4090-256,RTX 4090,1,256,23.98828125,0.39,"Spain, ES","{'Gpus': [{'Name': 'RTX 4090', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 24564}}], 'TotalGpuMemoryInMiB': 24564}",0.39
1x-RTX_4090-128,RTX 4090,1,128,23.98828125,0.38,"Texas, US","{'Gpus': [{'Name': 'RTX 4090', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 24564}}], 'TotalGpuMemoryInMiB': 24564}",0.38
1x-RTX_4090-32,RTX 4090,1,32,23.98828125,0.40,"Czechia, CZ","{'Gpus': [{'Name': 'RTX 4090', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 24564}}], 'TotalGpuMemoryInMiB': 24564}",0.40
1x-RTX_4090-256,RTX 4090,1,256,23.98828125,0.40,", US","{'Gpus': [{'Name': 'RTX 4090', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 24564}}], 'TotalGpuMemoryInMiB': 24564}",0.40
2x-RTX_4090-128,RTX 4090,2,128,47.9765625,0.88,"Missouri, US","{'Gpus': [{'Name': 'RTX 4090', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 49128}}], 'TotalGpuMemoryInMiB': 49128}",0.88
1x-RTX_4090-256,RTX 4090,1,256,23.98828125,0.44,"Sweden, SE","{'Gpus': [{'Name': 'RTX 4090', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 24564}}], 'TotalGpuMemoryInMiB': 24564}",0.44
1x-RTX_4090-128,RTX 4090,1,128,23.98828125,0.44,"Missouri, US","{'Gpus': [{'Name': 'RTX 4090', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 24564}}], 'TotalGpuMemoryInMiB': 24564}",0.44
2x-RTX_4090-64,RTX 4090,2,64,47.9765625,0.56,"Hong Kong, HK","{'Gpus': [{'Name': 'RTX 4090', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 49128}}], 'TotalGpuMemoryInMiB': 49128}",0.56
2x-H100_NVL-128,H100 NVL,2,128,187.16796875,4.53,"Australia, AU","{'Gpus': [{'Name': 'H100 NVL', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 191660}}], 'TotalGpuMemoryInMiB': 191660}",4.53
1x-RTX_4090-128,RTX 4090,1,128,23.98828125,0.44,"Missouri, US","{'Gpus': [{'Name': 'RTX 4090', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 24564}}], 'TotalGpuMemoryInMiB': 24564}",0.44
2x-RTX_4090-256,RTX 4090,2,256,47.9765625,0.80,", US","{'Gpus': [{'Name': 'RTX 4090', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 49128}}], 'TotalGpuMemoryInMiB': 49128}",0.80
