InstanceType,OnDemandInstanceCode,SpotInstanceCode
dl1.24xlarge,L-6E869C2A,L-85EED4F7
g2.2xlarge,L-DB2E81BA,L-3819A6DF
g2.8xlarge,L-DB2E81BA,L-3819A6DF
g3s.xlarge,L-DB2E81BA,L-3819A6DF
g3.4xlarge,L-DB2E81BA,L-3819A6DF
g3.8xlarge,L-DB2E81BA,L-3819A6DF
g3.16xlarge,L-DB2E81BA,L-3819A6DF
g4ad.xlarge,L-DB2E81BA,L-3819A6DF
g4ad.2xlarge,L-DB2E81BA,L-3819A6DF
g4ad.4xlarge,L-DB2E81BA,L-3819A6DF
g4ad.8xlarge,L-DB2E81BA,L-3819A6DF
g4ad.16xlarge,L-DB2E81BA,L-3819A6DF
g4dn.xlarge,L-DB2E81BA,L-3819A6DF
g4dn.2xlarge,L-DB2E81BA,L-3819A6DF
g4dn.4xlarge,L-DB2E81BA,L-3819A6DF
g4dn.8xlarge,L-DB2E81BA,L-3819A6DF
g4dn.16xlarge,L-DB2E81BA,L-3819A6DF
g4dn.12xlarge,L-DB2E81BA,L-3819A6DF
g4dn.metal,L-DB2E81BA,L-3819A6DF
g5.xlarge,L-DB2E81BA,L-3819A6DF
g5.2xlarge,L-DB2E81BA,L-3819A6DF
g5.4xlarge,L-DB2E81BA,L-3819A6DF
g5.8xlarge,L-DB2E81BA,L-3819A6DF
g5.16xlarge,L-DB2E81BA,L-3819A6DF
g5.12xlarge,L-DB2E81BA,L-3819A6DF
g5.24xlarge,L-DB2E81BA,L-3819A6DF
g5.48xlarge,L-DB2E81BA,L-3819A6DF
g5g.xlarge,L-DB2E81BA,L-3819A6DF
g5g.2xlarge,L-DB2E81BA,L-3819A6DF
g5g.4xlarge,L-DB2E81BA,L-3819A6DF
g5g.8xlarge,L-DB2E81BA,L-3819A6DF
g5g.16xlarge,L-DB2E81BA,L-3819A6DF
g5g.metal,L-DB2E81BA,L-3819A6DF
p2.xlarge,L-417A185B,L-7212CCBC
p2.8xlarge,L-417A185B,L-7212CCBC
p2.16xlarge,L-417A185B,L-7212CCBC
p3.2xlarge,L-417A185B,L-7212CCBC
p3.8xlarge,L-417A185B,L-7212CCBC
p3.16xlarge,L-417A185B,L-7212CCBC
p3dn.24xlarge,L-417A185B,L-7212CCBC
p4d.24xlarge,L-417A185B,L-7212CCBC
p4de.24xlarge,L-417A185B,L-7212CCBC
