InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,GpuInfo,Price,SpotPrice,Region,AvailabilityZone
VM.Standard.E4.Flex$_2_8,,,2,8,,0.037,0.0185,eu-amsterdam-1,eu-amsterdam-1-AD-1
VM.Standard.E4.Flex$_2_16,,,2,16,,0.049,0.0245,eu-amsterdam-1,eu-amsterdam-1-AD-1
VM.Standard.E4.Flex$_4_16,,,4,16,,0.074,0.037,eu-amsterdam-1,eu-amsterdam-1-AD-1
VM.Standard.E4.Flex$_4_32,,,4,32,,0.098,0.049,eu-amsterdam-1,eu-amsterdam-1-AD-1
VM.Standard.E4.Flex$_6_24,,,6,24,,0.111,0.0555,eu-amsterdam-1,eu-amsterdam-1-AD-1
VM.Standard.E4.Flex$_6_48,,,6,48,,0.147,0.0735,eu-amsterdam-1,eu-amsterdam-1-AD-1
VM.Standard.E4.Flex$_8_32,,,8,32,,0.148,0.074,eu-amsterdam-1,eu-amsterdam-1-AD-1
VM.Standard.E4.Flex$_8_64,,,8,64,,0.196,0.098,eu-amsterdam-1,eu-amsterdam-1-AD-1
VM.Standard.E4.Flex$_12_48,,,12,48,,0.222,0.111,eu-amsterdam-1,eu-amsterdam-1-AD-1
VM.Standard.E4.Flex$_12_96,,,12,96,,0.294,0.147,eu-amsterdam-1,eu-amsterdam-1-AD-1
VM.Standard.E4.Flex$_16_64,,,16,64,,0.296,0.148,eu-amsterdam-1,eu-amsterdam-1-AD-1
VM.Standard.E4.Flex$_16_128,,,16,128,,0.392,0.196,eu-amsterdam-1,eu-amsterdam-1-AD-1
VM.Standard.E4.Flex$_20_80,,,20,80,,0.37,0.185,eu-amsterdam-1,eu-amsterdam-1-AD-1
VM.Standard.E4.Flex$_20_160,,,20,160,,0.49,0.245,eu-amsterdam-1,eu-amsterdam-1-AD-1
VM.Standard.E4.Flex$_24_96,,,24,96,,0.444,0.222,eu-amsterdam-1,eu-amsterdam-1-AD-1
VM.Standard.E4.Flex$_24_192,,,24,192,,0.588,0.294,eu-amsterdam-1,eu-amsterdam-1-AD-1
VM.Standard.E4.Flex$_32_128,,,32,128,,0.592,0.296,eu-amsterdam-1,eu-amsterdam-1-AD-1
VM.Standard.E4.Flex$_32_256,,,32,256,,0.784,0.392,eu-amsterdam-1,eu-amsterdam-1-AD-1
VM.Standard.E4.Flex$_64_256,,,64,256,,1.184,0.592,eu-amsterdam-1,eu-amsterdam-1-AD-1
VM.Standard.E4.Flex$_64_512,,,64,512,,1.568,0.784,eu-amsterdam-1,eu-amsterdam-1-AD-1
VM.Standard.E4.Flex$_96_384,,,96,384,,1.776,0.888,eu-amsterdam-1,eu-amsterdam-1-AD-1
VM.Standard.E4.Flex$_96_768,,,96,768,,2.352,1.176,eu-amsterdam-1,eu-amsterdam-1-AD-1
VM.Standard.E4.Flex$_128_512,,,128,512,,2.368,1.184,eu-amsterdam-1,eu-amsterdam-1-AD-1
VM.Standard.E4.Flex$_128_1024,,,128,1024,,3.136,1.568,eu-amsterdam-1,eu-amsterdam-1-AD-1
VM.Standard.E5.Flex$_2_8,,,2,8,,0.046,0.023,eu-amsterdam-1,eu-amsterdam-1-AD-1
