InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,Region,GpuInfo,SpotPrice
cpu_4x_general,,,4.0,16.0,0.2,europe-central-1,,
cpu_4x_general,,,4.0,16.0,0.2,asia-south-1,,
cpu_4x_general,,,4.0,16.0,0.2,me-west-1,,
cpu_4x_general,,,4.0,16.0,0.2,europe-south-1,,
cpu_4x_general,,,4.0,16.0,0.2,asia-northeast-1,,
cpu_4x_general,,,4.0,16.0,0.2,asia-northeast-2,,
cpu_4x_general,,,4.0,16.0,0.2,australia-east-1,,
cpu_4x_general,,,4.0,16.0,0.2,us-east-1,,
cpu_4x_general,,,4.0,16.0,0.2,us-east-2,,
cpu_4x_general,,,4.0,16.0,0.2,us-east-3,,
cpu_4x_general,,,4.0,16.0,0.2,us-west-2,,
cpu_4x_general,,,4.0,16.0,0.2,us-west-1,,
cpu_4x_general,,,4.0,16.0,0.2,us-south-1,,
cpu_4x_general,,,4.0,16.0,0.2,us-south-2,,
cpu_4x_general,,,4.0,16.0,0.2,us-south-3,,
cpu_4x_general,,,4.0,16.0,0.2,us-west-3,,
cpu_4x_general,,,4.0,16.0,0.2,us-midwest-1,,
gpu_8x_v100_n,V100,8.0,88.0,448.0,6.32,europe-central-1,"{'Gpus': [{'Name': 'V100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
gpu_8x_v100_n,V100,8.0,88.0,448.0,6.32,asia-south-1,"{'Gpus': [{'Name': 'V100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
gpu_8x_v100_n,V100,8.0,88.0,448.0,6.32,me-west-1,"{'Gpus': [{'Name': 'V100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
gpu_8x_v100_n,V100,8.0,88.0,448.0,6.32,europe-south-1,"{'Gpus': [{'Name': 'V100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
gpu_8x_v100_n,V100,8.0,88.0,448.0,6.32,asia-northeast-1,"{'Gpus': [{'Name': 'V100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
gpu_8x_v100_n,V100,8.0,88.0,448.0,6.32,asia-northeast-2,"{'Gpus': [{'Name': 'V100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
gpu_8x_v100_n,V100,8.0,88.0,448.0,6.32,australia-east-1,"{'Gpus': [{'Name': 'V100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
gpu_8x_v100_n,V100,8.0,88.0,448.0,6.32,us-east-1,"{'Gpus': [{'Name': 'V100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
gpu_8x_v100_n,V100,8.0,88.0,448.0,6.32,us-east-2,"{'Gpus': [{'Name': 'V100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
gpu_8x_v100_n,V100,8.0,88.0,448.0,6.32,us-east-3,"{'Gpus': [{'Name': 'V100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
gpu_8x_v100_n,V100,8.0,88.0,448.0,6.32,us-west-2,"{'Gpus': [{'Name': 'V100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
gpu_8x_v100_n,V100,8.0,88.0,448.0,6.32,us-west-1,"{'Gpus': [{'Name': 'V100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
gpu_8x_v100_n,V100,8.0,88.0,448.0,6.32,us-south-1,"{'Gpus': [{'Name': 'V100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
gpu_8x_v100_n,V100,8.0,88.0,448.0,6.32,us-south-2,"{'Gpus': [{'Name': 'V100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
gpu_8x_v100_n,V100,8.0,88.0,448.0,6.32,us-south-3,"{'Gpus': [{'Name': 'V100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
gpu_8x_v100_n,V100,8.0,88.0,448.0,6.32,us-west-3,"{'Gpus': [{'Name': 'V100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
gpu_8x_v100_n,V100,8.0,88.0,448.0,6.32,us-midwest-1,"{'Gpus': [{'Name': 'V100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",
gpu_8x_a100,A100,8.0,124.0,1800.0,15.92,europe-central-1,"{'Gpus': [{'Name': 'A100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 40960}}], 'TotalGpuMemoryInMiB': 40960}",
gpu_8x_a100,A100,8.0,124.0,1800.0,15.92,asia-south-1,"{'Gpus': [{'Name': 'A100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 40960}}], 'TotalGpuMemoryInMiB': 40960}",
gpu_8x_a100,A100,8.0,124.0,1800.0,15.92,me-west-1,"{'Gpus': [{'Name': 'A100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 40960}}], 'TotalGpuMemoryInMiB': 40960}",
gpu_8x_a100,A100,8.0,124.0,1800.0,15.92,europe-south-1,"{'Gpus': [{'Name': 'A100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 40960}}], 'TotalGpuMemoryInMiB': 40960}",
gpu_8x_a100,A100,8.0,124.0,1800.0,15.92,asia-northeast-1,"{'Gpus': [{'Name': 'A100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 40960}}], 'TotalGpuMemoryInMiB': 40960}",
gpu_8x_a100,A100,8.0,124.0,1800.0,15.92,asia-northeast-2,"{'Gpus': [{'Name': 'A100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 40960}}], 'TotalGpuMemoryInMiB': 40960}",
gpu_8x_a100,A100,8.0,124.0,1800.0,15.92,australia-east-1,"{'Gpus': [{'Name': 'A100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 40960}}], 'TotalGpuMemoryInMiB': 40960}",
gpu_8x_a100,A100,8.0,124.0,1800.0,15.92,us-east-1,"{'Gpus': [{'Name': 'A100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 40960}}], 'TotalGpuMemoryInMiB': 40960}",
gpu_8x_a100,A100,8.0,124.0,1800.0,15.92,us-east-2,"{'Gpus': [{'Name': 'A100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 40960}}], 'TotalGpuMemoryInMiB': 40960}",
