InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,Region,GpuInfo,SpotPrice
cpu-d3_4vcpu-16gb,,0,4,16,0.0992,eu-north1,,
cpu-d3_8vcpu-32gb,,0,8,32,0.1984,eu-north1,,
cpu-d3_16vcpu-64gb,,0,16,64,0.3968,eu-north1,,
cpu-d3_32vcpu-128gb,,0,32,128,0.7936,eu-north1,,
cpu-d3_48vcpu-192gb,,0,48,192,1.1904,eu-north1,,
cpu-d3_64vcpu-256gb,,0,64,256,1.5872,eu-north1,,
cpu-d3_4vcpu-16gb,,0,4,16,0.0992,eu-west1,,
cpu-d3_8vcpu-32gb,,0,8,32,0.1984,eu-west1,,
cpu-d3_16vcpu-64gb,,0,16,64,0.3968,eu-west1,,
cpu-d3_32vcpu-128gb,,0,32,128,0.7936,eu-west1,,
cpu-d3_48vcpu-192gb,,0,48,192,1.1904,eu-west1,,
cpu-d3_64vcpu-256gb,,0,64,256,1.5872,eu-west1,,
cpu-e2_2vcpu-8gb,,0,2,8,0.0496,eu-north1,,
cpu-e2_4vcpu-16gb,,0,4,16,0.0992,eu-north1,,
cpu-e2_8vcpu-32gb,,0,8,32,0.1984,eu-north1,,
cpu-e2_16vcpu-64gb,,0,16,64,0.3968,eu-north1,,
cpu-e2_32vcpu-128gb,,0,32,128,0.7936,eu-north1,,
cpu-e2_48vcpu-192gb,,0,48,192,1.1904,eu-north1,,
cpu-e2_64vcpu-256gb,,0,64,256,1.5872,eu-north1,,
cpu-e2_80vcpu-320gb,,0,80,320,1.984,eu-north1,,
gpu-l40s-a_1gpu-8vcpu-32gb,L40S,1,8,32,1.5484,eu-north1,"{'Gpus': [{'Name': 'L40S', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 32768}}], 'TotalGpuMemoryInMiB': 32768}",
gpu-l40s-a_1gpu-16vcpu-64gb,L40S,1,16,64,1.7468,eu-north1,"{'Gpus': [{'Name': 'L40S', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 65536}}], 'TotalGpuMemoryInMiB': 65536}",
gpu-l40s-a_1gpu-24vcpu-96gb,L40S,1,24,96,1.9452,eu-north1,"{'Gpus': [{'Name': 'L40S', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 98304}}], 'TotalGpuMemoryInMiB': 98304}",
gpu-l40s-a_1gpu-32vcpu-128gb,L40S,1,32,128,2.1436,eu-north1,"{'Gpus': [{'Name': 'L40S', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 131072}}], 'TotalGpuMemoryInMiB': 131072}",
gpu-l40s-a_1gpu-40vcpu-160gb,L40S,1,40,160,2.342,eu-north1,"{'Gpus': [{'Name': 'L40S', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 163840}}], 'TotalGpuMemoryInMiB': 163840}",
gpu-h200-sxm_1gpu-16vcpu-200gb,H200,1,16,200,3.50,eu-north1,"{'Gpus': [{'Name': 'H200', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 204800}}], 'TotalGpuMemoryInMiB': 204800}",
gpu-h200-sxm_8gpu-128vcpu-1600gb,H200,8,128,1600,28.00,eu-north1,"{'Gpus': [{'Name': 'H200', 'Manufacturer': 'NVIDIA', 'Count': 8, 'MemoryInfo': {'SizeInMiB': 204800}}], 'TotalGpuMemoryInMiB': 1638400}",
gpu-h200-sxm_1gpu-16vcpu-200gb,H200,1,16,200,3.50,eu-west1,"{'Gpus': [{'Name': 'H200', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 204800}}], 'TotalGpuMemoryInMiB': 204800}",
gpu-h200-sxm_8gpu-128vcpu-1600gb,H200,8,128,1600,28.00,eu-west1,"{'Gpus': [{'Name': 'H200', 'Manufacturer': 'NVIDIA', 'Count': 8, 'MemoryInfo': {'SizeInMiB': 204800}}], 'TotalGpuMemoryInMiB': 1638400}",
gpu-h100-sxm_1gpu-16vcpu-200gb,H100,1,16,200,2.95,eu-north1,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 204800}}], 'TotalGpuMemoryInMiB': 204800}",
gpu-h100-sxm_8gpu-128vcpu-1600gb,H100,8,128,1600,23.60,eu-north1,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 8, 'MemoryInfo': {'SizeInMiB': 204800}}], 'TotalGpuMemoryInMiB': 1638400}",
