InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,Region,GpuInfo,SpotPrice
eCS1,,,1,1.0,0.019,ch-lug1,,
eCS1,,,1,1.0,0.019,it-fr2,,
eCS1,,,1,1.0,0.019,it-mi2,,
eCS1,,,1,1.0,0.019,bg-sof1,,
eCS2,,,2,2.0,0.032,ch-lug1,,
eCS2,,,2,2.0,0.032,it-fr2,,
eCS2,,,2,2.0,0.032,it-mi2,,
eCS2,,,2,2.0,0.032,bg-sof1,,
eCS2W,,,2,2.0,0.048,ch-lug1,,
eCS2W,,,2,2.0,0.048,it-fr2,,
eCS2W,,,2,2.0,0.048,it-mi2,,
eCS3,,,4,4.0,0.048,ch-lug1,,
eCS3,,,4,4.0,0.048,it-fr2,,
eCS3,,,4,4.0,0.048,it-mi2,,
eCS3,,,4,4.0,0.048,bg-sof1,,
eCS3W,,,4,4.0,0.078,ch-lug1,,
eCS3W,,,4,4.0,0.078,it-fr2,,
eCS3W,,,4,4.0,0.078,it-mi2,,
eCS4,,,4,8.0,0.063,ch-lug1,,
eCS4,,,4,8.0,0.063,it-fr2,,
eCS4,,,4,8.0,0.063,it-mi2,,
eCS4,,,4,8.0,0.063,bg-sof1,,
eCS4W,,,4,8.0,0.127,ch-lug1,,
eCS4W,,,4,8.0,0.127,it-fr2,,
eCS4W,,,4,8.0,0.127,it-mi2,,
eCS5,,,8,16.0,0.127,ch-lug1,,
eCS5,,,8,16.0,0.127,it-fr2,,
eCS5,,,8,16.0,0.127,it-mi2,,
eCS5,,,8,16.0,0.127,bg-sof1,,
eCS5W,,,8,16.0,0.253,ch-lug1,,
eCS5W,,,8,16.0,0.253,it-mi2,,
eCS6,,,12,24.0,0.152,ch-lug1,,
eCS6,,,12,24.0,0.152,it-fr2,,
eCS6,,,12,24.0,0.152,it-mi2,,
eCS6,,,12,24.0,0.152,bg-sof1,,
ECS7,,,16,32.0,0.31,ch-lug1,,
ECS7,,,16,32.0,0.31,it-fr2,,
ECS7,,,16,32.0,0.31,it-mi2,,
ECS7,,,16,32.0,0.31,bg-sof1,,
ECS8,,,16,64.0,0.63,ch-lug1,,
ECS8,,,16,64.0,0.63,it-fr2,,
ECS8,,,16,64.0,0.63,it-mi2,,
ECS8,,,16,64.0,0.63,bg-sof1,,
ECS1GPU,RTX6000,1,8,32.0,0.29,it-fr2,"{'Gpus': [{'Name': 'RTX6000', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 24576}}], 'TotalGpuMemoryInMiB': 24576}",
ECS1GPU11,A30,1,8,32.0,0.29,it-fr2,"{'Gpus': [{'Name': 'A30', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 24576}}], 'TotalGpuMemoryInMiB': 24576}",
ECS1GPU10,H200,1,32,256.0,2.6,it-fr2,"{'Gpus': [{'Name': 'H200', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 144384}}], 'TotalGpuMemoryInMiB': 144384}",
ECS2GPU10,H200,2,64,512.0,5.2,it-fr2,"{'Gpus': [{'Name': 'H200', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 144384}}], 'TotalGpuMemoryInMiB': 288768}",
ECS4GPU10,H200,4,128,1024.0,10.4,it-fr2,"{'Gpus': [{'Name': 'H200', 'Manufacturer': 'NVIDIA', 'Count': 4.0, 'MemoryInfo': {'SizeInMiB': 144384}}], 'TotalGpuMemoryInMiB': 577536}",
ECS8GPU10,H200,8,255,2048.0,20.8,it-fr2,"{'Gpus': [{'Name': 'H200', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 144384}}], 'TotalGpuMemoryInMiB': 1155072}",
ECS1GPU2,RTXA6000,1,8,32.0,0.74,it-fr2,"{'Gpus': [{'Name': 'RTXA6000', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 48384}}], 'TotalGpuMemoryInMiB': 48384}",
ECS2GPU2,RTXA6000,2,16,64.0,1.48,it-fr2,"{'Gpus': [{'Name': 'RTXA6000', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 48384}}], 'TotalGpuMemoryInMiB': 96768}",
ECS3GPU2,RTXA6000,4,32,128.0,2.96,it-fr2,"{'Gpus': [{'Name': 'RTXA6000', 'Manufacturer': 'NVIDIA', 'Count': 4.0, 'MemoryInfo': {'SizeInMiB': 48384}}], 'TotalGpuMemoryInMiB': 193536}",
ECS1GPU3,A100,1,16,120.0,1.89,it-fr2,"{'Gpus': [{'Name': 'A100', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 81920}}], 'TotalGpuMemoryInMiB': 81920}",
ECS2GPU3,A100,2,32,240.0,3.78,it-fr2,"{'Gpus': [{'Name': 'A100', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 81920}}], 'TotalGpuMemoryInMiB': 163840}",
ECS3GPU3,A100,4,64,480.0,7.56,it-fr2,"{'Gpus': [{'Name': 'A100', 'Manufacturer': 'NVIDIA', 'Count': 4.0, 'MemoryInfo': {'SizeInMiB': 81920}}], 'TotalGpuMemoryInMiB': 327680}",
ECS1GPU6,L4,1,4,32.0,0.38,it-fr2,"{'Gpus': [{'Name': 'L4', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 24576}}], 'TotalGpuMemoryInMiB': 24576}",
ECS2GPU6,L4,2,8,64.0,0.76,it-fr2,"{'Gpus': [{'Name': 'L4', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 24576}}], 'TotalGpuMemoryInMiB': 49152}",
