Tag,Region,OS,OSVersion,ImageId,CreationDate,BaseImageId
skypilot:custom-gpu-ubuntu-arm64,af-south-1,ubuntu,22.04,ami-0bb8e92c5a1ffbff5,20250910,ami-01b2110eef525172b
skypilot:custom-gpu-ubuntu-arm64,ap-east-1,ubuntu,22.04,ami-0802d72666c15f92d,20250910,ami-01b2110eef525172b
skypilot:custom-gpu-ubuntu-arm64,ap-northeast-1,ubuntu,22.04,ami-0a9edcf5a1efc755e,20250910,ami-01b2110eef525172b
skypilot:custom-gpu-ubuntu-arm64,ap-northeast-2,ubuntu,22.04,ami-0b8682031ae42b5e7,20250910,ami-01b2110eef525172b
skypilot:custom-gpu-ubuntu-arm64,ap-northeast-3,ubuntu,22.04,ami-01c9c3400eb7ad2d4,20250910,ami-01b2110eef525172b
skypilot:custom-gpu-ubuntu-arm64,ap-south-1,ubuntu,22.04,ami-0bc8a30b5011bbf85,20250910,ami-01b2110eef525172b
skypilot:custom-gpu-ubuntu-arm64,ap-south-2,ubuntu,22.04,ami-007780fd27252fc29,20250910,ami-01b2110eef525172b
skypilot:custom-gpu-ubuntu-arm64,ap-southeast-1,ubuntu,22.04,ami-008d4672974d455de,20250910,ami-01b2110eef525172b
skypilot:custom-gpu-ubuntu-arm64,ap-southeast-2,ubuntu,22.04,ami-0ddcebbf41063c7ed,20250910,ami-01b2110eef525172b
skypilot:custom-gpu-ubuntu-arm64,ap-southeast-3,ubuntu,22.04,ami-076d76071e67bdfde,20250910,ami-01b2110eef525172b
skypilot:custom-gpu-ubuntu-arm64,ca-central-1,ubuntu,22.04,ami-0e4bd3372705c3e41,20250910,ami-01b2110eef525172b
skypilot:custom-gpu-ubuntu-arm64,eu-central-1,ubuntu,22.04,ami-0b183460280bb7b7b,20250910,ami-01b2110eef525172b
skypilot:custom-gpu-ubuntu-arm64,eu-central-2,ubuntu,22.04,ami-0b1336fc3a2b780d1,20250910,ami-01b2110eef525172b
skypilot:custom-gpu-ubuntu-arm64,eu-north-1,ubuntu,22.04,ami-0db3b9cf8a80eaf99,20250910,ami-01b2110eef525172b
skypilot:custom-gpu-ubuntu-arm64,eu-south-1,ubuntu,22.04,ami-00225058e5f48adb8,20250910,ami-01b2110eef525172b
skypilot:custom-gpu-ubuntu-arm64,eu-south-2,ubuntu,22.04,ami-055bd613be0259431,20250910,ami-01b2110eef525172b
skypilot:custom-gpu-ubuntu-arm64,eu-west-1,ubuntu,22.04,ami-0d68bb89b87fc48eb,20250910,ami-01b2110eef525172b
