InstanceType,vCPUs,MemoryGiB,AcceleratorName,AcceleratorCount,GpuInfo,Region,AvailabilityZone,Price,SpotPrice
a2-highgpu-1g,12.0,85.0,,,,asia-northeast1,asia-northeast1-a,0.94803,0.47407
a2-highgpu-1g,12.0,85.0,,,,asia-northeast1,asia-northeast1-c,0.94803,0.47407
a2-highgpu-1g,12.0,85.0,,,,asia-northeast3,asia-northeast3-a,0.94803,0.37735
a2-highgpu-1g,12.0,85.0,,,,asia-northeast3,asia-northeast3-b,0.94803,0.37735
a2-highgpu-1g,12.0,85.0,,,,asia-southeast1,asia-southeast1-a,0.9122,0.45482
a2-highgpu-1g,12.0,85.0,,,,asia-southeast1,asia-southeast1-b,0.9122,0.45482
a2-highgpu-1g,12.0,85.0,,,,asia-southeast1,asia-southeast1-c,0.9122,0.45482
a2-highgpu-1g,12.0,85.0,,,,europe-west4,europe-west4-a,0.81406,0.33413
a2-highgpu-1g,12.0,85.0,,,,europe-west4,europe-west4-b,0.81406,0.33413
a2-highgpu-1g,12.0,85.0,,,,me-west1,me-west1-a,0.81342,0.40652
a2-highgpu-1g,12.0,85.0,,,,me-west1,me-west1-c,0.81342,0.40652
a2-highgpu-1g,12.0,85.0,,,,us-central1,us-central1-a,0.73948,0.36975
a2-highgpu-1g,12.0,85.0,,,,us-central1,us-central1-b,0.73948,0.36975
a2-highgpu-1g,12.0,85.0,,,,us-central1,us-central1-c,0.73948,0.36975
a2-highgpu-1g,12.0,85.0,,,,us-central1,us-central1-f,0.73948,0.36975
a2-highgpu-1g,12.0,85.0,,,,us-east1,us-east1-b,0.73948,0.36975
a2-highgpu-1g,12.0,85.0,,,,us-west1,us-west1-b,0.73948,0.36975
a2-highgpu-1g,12.0,85.0,,,,us-west3,us-west3-b,0.8882,0.44392
a2-highgpu-1g,12.0,85.0,,,,us-west4,us-west4-b,0.8328,0.34966
a2-highgpu-2g,24.0,170.0,,,,asia-northeast1,asia-northeast1-a,1.89606,0.94814
a2-highgpu-2g,24.0,170.0,,,,asia-northeast1,asia-northeast1-c,1.89606,0.94814
a2-highgpu-2g,24.0,170.0,,,,asia-northeast3,asia-northeast3-a,1.89606,0.7547
a2-highgpu-2g,24.0,170.0,,,,asia-northeast3,asia-northeast3-b,1.89606,0.7547
a2-highgpu-2g,24.0,170.0,,,,asia-southeast1,asia-southeast1-a,1.8244,0.90965
a2-highgpu-2g,24.0,170.0,,,,asia-southeast1,asia-southeast1-b,1.8244,0.90965
a2-highgpu-2g,24.0,170.0,,,,asia-southeast1,asia-southeast1-c,1.8244,0.90965
a2-highgpu-2g,24.0,170.0,,,,europe-west4,europe-west4-a,1.62813,0.66827
a2-highgpu-2g,24.0,170.0,,,,europe-west4,europe-west4-b,1.62813,0.66827
a2-highgpu-2g,24.0,170.0,,,,me-west1,me-west1-a,1.62685,0.81305
a2-highgpu-2g,24.0,170.0,,,,me-west1,me-west1-c,1.62685,0.81305
a2-highgpu-2g,24.0,170.0,,,,us-central1,us-central1-a,1.47895,0.7395
a2-highgpu-2g,24.0,170.0,,,,us-central1,us-central1-b,1.47895,0.7395
a2-highgpu-2g,24.0,170.0,,,,us-central1,us-central1-c,1.47895,0.7395
a2-highgpu-2g,24.0,170.0,,,,us-central1,us-central1-f,1.47895,0.7395
a2-highgpu-2g,24.0,170.0,,,,us-east1,us-east1-b,1.47895,0.7395
a2-highgpu-2g,24.0,170.0,,,,us-west1,us-west1-b,1.47895,0.7395
a2-highgpu-2g,24.0,170.0,,,,us-west3,us-west3-b,1.77641,0.88783
a2-highgpu-2g,24.0,170.0,,,,us-west4,us-west4-b,1.66559,0.69931
a2-highgpu-4g,48.0,340.0,,,,asia-northeast1,asia-northeast1-a,3.79212,1.89628
a2-highgpu-4g,48.0,340.0,,,,asia-northeast1,asia-northeast1-c,3.79212,1.89628
a2-highgpu-4g,48.0,340.0,,,,asia-northeast3,asia-northeast3-a,3.79212,1.5094
a2-highgpu-4g,48.0,340.0,,,,asia-northeast3,asia-northeast3-b,3.79212,1.5094
a2-highgpu-4g,48.0,340.0,,,,asia-southeast1,asia-southeast1-a,3.64879,1.8193
a2-highgpu-4g,48.0,340.0,,,,asia-southeast1,asia-southeast1-b,3.64879,1.8193
a2-highgpu-4g,48.0,340.0,,,,asia-southeast1,asia-southeast1-c,3.64879,1.8193
a2-highgpu-4g,48.0,340.0,,,,europe-west4,europe-west4-a,3.25626,1.33654
a2-highgpu-4g,48.0,340.0,,,,europe-west4,europe-west4-b,3.25626,1.33654
a2-highgpu-4g,48.0,340.0,,,,me-west1,me-west1-a,3.2537,1.6261
a2-highgpu-4g,48.0,340.0,,,,me-west1,me-west1-c,3.2537,1.6261
a2-highgpu-4g,48.0,340.0,,,,us-central1,us-central1-a,2.95791,1.479
a2-highgpu-4g,48.0,340.0,,,,us-central1,us-central1-b,2.95791,1.479
a2-highgpu-4g,48.0,340.0,,,,us-central1,us-central1-c,2.95791,1.479
a2-highgpu-4g,48.0,340.0,,,,us-central1,us-central1-f,2.95791,1.479
a2-highgpu-4g,48.0,340.0,,,,us-east1,us-east1-b,2.95791,1.479
a2-highgpu-4g,48.0,340.0,,,,us-west1,us-west1-b,2.95791,1.479
a2-highgpu-4g,48.0,340.0,,,,us-west3,us-west3-b,3.55282,1.77566
a2-highgpu-4g,48.0,340.0,,,,us-west4,us-west4-b,3.33118,1.39862
a2-highgpu-8g,96.0,680.0,,,,asia-northeast1,asia-northeast1-a,7.58425,3.79256
a2-highgpu-8g,96.0,680.0,,,,asia-northeast1,asia-northeast1-c,7.58425,3.79256
a2-highgpu-8g,96.0,680.0,,,,asia-northeast3,asia-northeast3-a,7.58425,3.0188
a2-highgpu-8g,96.0,680.0,,,,asia-northeast3,asia-northeast3-b,7.58425,3.0188
a2-highgpu-8g,96.0,680.0,,,,asia-southeast1,asia-southeast1-a,7.29758,3.6386
a2-highgpu-8g,96.0,680.0,,,,asia-southeast1,asia-southeast1-b,7.29758,3.6386
a2-highgpu-8g,96.0,680.0,,,,asia-southeast1,asia-southeast1-c,7.29758,3.6386
a2-highgpu-8g,96.0,680.0,,,,europe-west4,europe-west4-a,6.51251,2.67308
a2-highgpu-8g,96.0,680.0,,,,europe-west4,europe-west4-b,6.51251,2.67308
a2-highgpu-8g,96.0,680.0,,,,me-west1,me-west1-a,6.5074,3.2522
a2-highgpu-8g,96.0,680.0,,,,me-west1,me-west1-c,6.5074,3.2522
a2-highgpu-8g,96.0,680.0,,,,us-central1,us-central1-a,5.91582,2.958
a2-highgpu-8g,96.0,680.0,,,,us-central1,us-central1-b,5.91582,2.958
a2-highgpu-8g,96.0,680.0,,,,us-central1,us-central1-c,5.91582,2.958
a2-highgpu-8g,96.0,680.0,,,,us-central1,us-central1-f,5.91582,2.958
a2-highgpu-8g,96.0,680.0,,,,us-east1,us-east1-b,5.91582,2.958
a2-highgpu-8g,96.0,680.0,,,,us-west1,us-west1-b,5.91582,2.958
a2-highgpu-8g,96.0,680.0,,,,us-west3,us-west3-b,7.10564,3.55132
a2-highgpu-8g,96.0,680.0,,,,us-west4,us-west4-b,6.66236,2.79724
a2-megagpu-16g,96.0,1360.0,,,,asia-southeast1,asia-southeast1-a,10.85126,5.41
a2-megagpu-16g,96.0,1360.0,,,,asia-southeast1,asia-southeast1-c,10.85126,5.41
a2-megagpu-16g,96.0,1360.0,,,,europe-west4,europe-west4-a,9.68403,3.97528
a2-megagpu-16g,96.0,1360.0,,,,europe-west4,europe-west4-b,9.68403,3.97528
a2-megagpu-16g,96.0,1360.0,,,,us-central1,us-central1-a,8.79698,4.39824
a2-megagpu-16g,96.0,1360.0,,,,us-central1,us-central1-b,8.79698,4.39824
a2-megagpu-16g,96.0,1360.0,,,,us-central1,us-central1-c,8.79698,4.39824
a2-megagpu-16g,96.0,1360.0,,,,us-central1,us-central1-f,8.79698,4.39824
a2-ultragpu-1g,12.0,170.0,,,,asia-southeast1,asia-southeast1-c,1.35641,0.67625
a2-ultragpu-1g,12.0,170.0,,,,europe-west4,europe-west4-a,1.2105,0.49691
a2-ultragpu-1g,12.0,170.0,,,,us-central1,us-central1-a,1.09962,0.54978
a2-ultragpu-1g,12.0,170.0,,,,us-central1,us-central1-c,1.09962,0.54978
a2-ultragpu-1g,12.0,170.0,,,,us-east4,us-east4-c,1.23833,0.59644
a2-ultragpu-1g,12.0,170.0,,,,us-east5,us-east5-a,1.09962,0.34388
a2-ultragpu-1g,12.0,170.0,,,,us-east5,us-east5-b,1.09962,0.34388
a2-ultragpu-2g,24.0,340.0,,,,asia-southeast1,asia-southeast1-c,2.71282,1.3525
a2-ultragpu-2g,24.0,340.0,,,,europe-west4,europe-west4-a,2.42101,0.99382
a2-ultragpu-2g,24.0,340.0,,,,us-central1,us-central1-a,2.19924,1.09956
a2-ultragpu-2g,24.0,340.0,,,,us-central1,us-central1-c,2.19924,1.09956
a2-ultragpu-2g,24.0,340.0,,,,us-east4,us-east4-c,2.47666,1.19288
a2-ultragpu-2g,24.0,340.0,,,,us-east5,us-east5-a,2.19924,0.68776
a2-ultragpu-2g,24.0,340.0,,,,us-east5,us-east5-b,2.19924,0.68776
a2-ultragpu-4g,48.0,680.0,,,,asia-southeast1,asia-southeast1-c,5.42563,2.705
a2-ultragpu-4g,48.0,680.0,,,,europe-west4,europe-west4-a,4.84202,1.98764
a2-ultragpu-4g,48.0,680.0,,,,us-central1,us-central1-a,4.39849,2.19912
a2-ultragpu-4g,48.0,680.0,,,,us-central1,us-central1-c,4.39849,2.19912
a2-ultragpu-4g,48.0,680.0,,,,us-east4,us-east4-c,4.95332,2.38576
a2-ultragpu-4g,48.0,680.0,,,,us-east5,us-east5-a,4.39849,1.37552
