InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,Region,GpuInfo,SpotPrice
B200_1x,B200,1.0,26.0,354.0,5.8,AU,"{'Gpus': [{'Name': 'B200', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 183296}, 'TotalGpuMemoryInMiB': 183296}]}",
B200_1x,B200,1.0,30.0,167.0,6.5318,FI,"{'Gpus': [{'Name': 'B200', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 183296}, 'TotalGpuMemoryInMiB': 183296}]}",
B200_1x,B200,1.0,26.0,354.0,5.6,US,"{'Gpus': [{'Name': 'B200', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 183296}, 'TotalGpuMemoryInMiB': 183296}]}",
B200_8x,B200,8.0,240.0,1338.0,52.2544,FI,"{'Gpus': [{'Name': 'B200', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 183296}, 'TotalGpuMemoryInMiB': 1466368}]}",
B200_8x,B200,8.0,288.0,2262.0,52.0,US,"{'Gpus': [{'Name': 'B200', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 183296}, 'TotalGpuMemoryInMiB': 1466368}]}",
B300_8x,B300,8.0,224.0,1890.0,64.0,CA,"{'Gpus': [{'Name': 'B300', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 275456}, 'TotalGpuMemoryInMiB': 2203648}]}",
B300_8x,B300,8.0,256.0,3024.0,63.76,US,"{'Gpus': [{'Name': 'B300', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 275456}, 'TotalGpuMemoryInMiB': 2203648}]}",
H100-SXM_8x,H100-SXM,8.0,192.0,1007.0,14.0,RU,"{'Gpus': [{'Name': 'H100-SXM', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 81920}, 'TotalGpuMemoryInMiB': 655360}]}",
L40S_2x,L40S,2.0,24.0,141.0,0.76,US,"{'Gpus': [{'Name': 'L40S', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 46080}, 'TotalGpuMemoryInMiB': 92160}]}",
L40S_4x,L40S,4.0,46.0,283.0,1.52,US,"{'Gpus': [{'Name': 'L40S', 'Manufacturer': 'NVIDIA', 'Count': 4.0, 'MemoryInfo': {'SizeInMiB': 46080}, 'TotalGpuMemoryInMiB': 184320}]}",
L40_4x,L40,4.0,50.0,283.0,1.32,US,"{'Gpus': [{'Name': 'L40', 'Manufacturer': 'NVIDIA', 'Count': 4.0, 'MemoryInfo': {'SizeInMiB': 46080}, 'TotalGpuMemoryInMiB': 184320}]}",
RTX3090_1x,RTX3090,1.0,24.0,62.0,0.4,US,"{'Gpus': [{'Name': 'RTX3090', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 24576}, 'TotalGpuMemoryInMiB': 24576}]}",
