InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,Region,GpuInfo,SpotPrice,Provider,OperatingSystem,SpheronInstanceType
1H100.80S.32V_FIN-03_500,H100_SXM5,1.0,32.0,185.0,2.9124,Finland 3,"{""Gpus"": [{""Name"": ""H100_SXM5"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 81920}]}",0.8015,data-crunch,Ubuntu 22.04,DEDICATED
1H100.80S.32V_FIN-03_1000,H100_SXM5,1.0,32.0,185.0,3.0768,Finland 3,"{""Gpus"": [{""Name"": ""H100_SXM5"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 81920}]}",0.8015,data-crunch,Ubuntu 22.04,DEDICATED
H100_668d6762247d03149a4c9468_dallas-usa-1,H100_PCIE_BAREMETAL,1.0,16.0,192.0,2.6268,dallas-usa-1,"{""Gpus"": [{""Name"": ""H100_PCIE_BAREMETAL"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 81920}]}",,sesterce,ubuntu24.04_cuda12.4_shade_os,DEDICATED
n3-H100x8-NVLink__CANADA-1,H100_NVL,8.0,252.0,1440.0,16.4807,CANADA-1,"{""Gpus"": [{""Name"": ""H100_NVL"", ""Manufacturer"": ""NVIDIA"", ""Count"": 8.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 655360}]}",,spheron-ai,Ubuntu Server 22.04 LTS R570 CUDA 12.8 with Docker,DEDICATED
n3-H100x8-NVLink-bigroot__CANADA-1,H100_NVL,8.0,252.0,1440.0,16.4807,CANADA-1,"{""Gpus"": [{""Name"": ""H100_NVL"", ""Manufacturer"": ""NVIDIA"", ""Count"": 8.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 655360}]}",,spheron-ai,Ubuntu Server 22.04 LTS R570 CUDA 12.8 with Docker,DEDICATED
H100x8_668d6762247d03149a4c9474_montreal-canada-2,H100_PCIE,8.0,252.0,1440.0,20.064,montreal-canada-2,"{""Gpus"": [{""Name"": ""H100_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 8.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 655360}]}",,sesterce,ubuntu22.04_cuda12.8_shade_os,DEDICATED
H100x8_NVLINK_668d6762247d03149a4c9474_montreal-canada-2,H100_PCIE,8.0,252.0,1440.0,20.592,montreal-canada-2,"{""Gpus"": [{""Name"": ""H100_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 8.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 655360}]}",,sesterce,ubuntu22.04_cuda12.8_shade_os,DEDICATED
H100x4_668d6762247d03149a4c9474_montreal-canada-2,H100_PCIE,4.0,124.0,720.0,10.032,montreal-canada-2,"{""Gpus"": [{""Name"": ""H100_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 4.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 327680}]}",,sesterce,ubuntu22.04_cuda12.8_shade_os,DEDICATED
H100x2_668d6762247d03149a4c9474_montreal-canada-2,H100_PCIE,2.0,60.0,360.0,5.016,montreal-canada-2,"{""Gpus"": [{""Name"": ""H100_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 163840}]}",,sesterce,ubuntu22.04_cuda12.8_shade_os,DEDICATED
H100x2_677dc00033f3247083221e73_paris-france-1,H100_PCIE,2.0,48.0,480.0,8.0256,paris-france-1,"{""Gpus"": [{""Name"": ""H100_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 81920}, ""TotalGpuMemoryInMiB"": 163840}]}",,sesterce,ubuntu22.04_cuda12.4_shade_os,DEDICATED
