AcceleratorName,AcceleratorCount,GpuInfo,Region,AvailabilityZone
A100-80GB,1,,us-central1,us-central1-c
A100-80GB,2,,us-central1,us-central1-c
A100-80GB,4,,us-central1,us-central1-c
A100-80GB,8,,us-central1,us-central1-c
A100-80GB,1,,us-east4,us-east4-c
A100-80GB,2,,us-east4,us-east4-c
A100-80GB,4,,us-east4,us-east4-c
A100-80GB,8,,us-east4,us-east4-c
A100,1,,asia-northeast1,asia-northeast1-a
A100,2,,asia-northeast1,asia-northeast1-a
A100,4,,asia-northeast1,asia-northeast1-a
A100,8,,asia-northeast1,asia-northeast1-a
A100,1,,asia-northeast1,asia-northeast1-c
A100,2,,asia-northeast1,asia-northeast1-c
A100,4,,asia-northeast1,asia-northeast1-c
A100,8,,asia-northeast1,asia-northeast1-c
A100,1,,asia-northeast3,asia-northeast3-a
A100,2,,asia-northeast3,asia-northeast3-a
A100,4,,asia-northeast3,asia-northeast3-a
A100,8,,asia-northeast3,asia-northeast3-a
A100,1,,asia-northeast3,asia-northeast3-b
A100,2,,asia-northeast3,asia-northeast3-b
A100,4,,asia-northeast3,asia-northeast3-b
A100,8,,asia-northeast3,asia-northeast3-b
A100,1,,asia-southeast1,asia-southeast1-b
A100,2,,asia-southeast1,asia-southeast1-b
A100,4,,asia-southeast1,asia-southeast1-b
A100,8,,asia-southeast1,asia-southeast1-b
A100,1,,asia-southeast1,asia-southeast1-c
A100,2,,asia-southeast1,asia-southeast1-c
A100,4,,asia-southeast1,asia-southeast1-c
A100,8,,asia-southeast1,asia-southeast1-c
A100,16,,asia-southeast1,asia-southeast1-c
A100,1,,europe-west4,europe-west4-a
A100,2,,europe-west4,europe-west4-a
A100,4,,europe-west4,europe-west4-a
A100,8,,europe-west4,europe-west4-a
A100,16,,europe-west4,europe-west4-a
A100,1,,europe-west4,europe-west4-b
A100,2,,europe-west4,europe-west4-b
A100,4,,europe-west4,europe-west4-b
A100,8,,europe-west4,europe-west4-b
A100,16,,europe-west4,europe-west4-b
A100,1,,us-central1,us-central1-a
A100,2,,us-central1,us-central1-a
A100,4,,us-central1,us-central1-a
A100,8,,us-central1,us-central1-a
A100,16,,us-central1,us-central1-a
A100,1,,us-central1,us-central1-b
A100,2,,us-central1,us-central1-b
A100,4,,us-central1,us-central1-b
A100,8,,us-central1,us-central1-b
A100,16,,us-central1,us-central1-b
A100,1,,us-central1,us-central1-c
A100,2,,us-central1,us-central1-c
A100,4,,us-central1,us-central1-c
A100,8,,us-central1,us-central1-c
A100,16,,us-central1,us-central1-c
A100,1,,us-central1,us-central1-f
