InstanceType,vCPUs,MemoryGiB,Region,AvailabilityZone
a2-highgpu-1g,12.0,85.0,asia-northeast1,asia-northeast1-a
a2-highgpu-1g,12.0,85.0,asia-northeast1,asia-northeast1-c
a2-highgpu-1g,12.0,85.0,asia-northeast3,asia-northeast3-a
a2-highgpu-1g,12.0,85.0,asia-northeast3,asia-northeast3-b
a2-highgpu-1g,12.0,85.0,asia-southeast1,asia-southeast1-b
a2-highgpu-1g,12.0,85.0,asia-southeast1,asia-southeast1-c
a2-highgpu-1g,12.0,85.0,europe-west4,europe-west4-a
a2-highgpu-1g,12.0,85.0,europe-west4,europe-west4-b
a2-highgpu-1g,12.0,85.0,us-central1,us-central1-a
a2-highgpu-1g,12.0,85.0,us-central1,us-central1-b
a2-highgpu-1g,12.0,85.0,us-central1,us-central1-c
a2-highgpu-1g,12.0,85.0,us-central1,us-central1-f
a2-highgpu-1g,12.0,85.0,us-east1,us-east1-b
a2-highgpu-1g,12.0,85.0,us-west1,us-west1-b
a2-highgpu-1g,12.0,85.0,us-west3,us-west3-b
a2-highgpu-1g,12.0,85.0,us-west4,us-west4-b
a2-highgpu-2g,24.0,170.0,asia-northeast1,asia-northeast1-a
a2-highgpu-2g,24.0,170.0,asia-northeast1,asia-northeast1-c
a2-highgpu-2g,24.0,170.0,asia-northeast3,asia-northeast3-a
a2-highgpu-2g,24.0,170.0,asia-northeast3,asia-northeast3-b
a2-highgpu-2g,24.0,170.0,asia-southeast1,asia-southeast1-b
a2-highgpu-2g,24.0,170.0,asia-southeast1,asia-southeast1-c
a2-highgpu-2g,24.0,170.0,europe-west4,europe-west4-a
a2-highgpu-2g,24.0,170.0,europe-west4,europe-west4-b
a2-highgpu-2g,24.0,170.0,us-central1,us-central1-a
a2-highgpu-2g,24.0,170.0,us-central1,us-central1-b
a2-highgpu-2g,24.0,170.0,us-central1,us-central1-c
a2-highgpu-2g,24.0,170.0,us-central1,us-central1-f
a2-highgpu-2g,24.0,170.0,us-east1,us-east1-b
a2-highgpu-2g,24.0,170.0,us-west1,us-west1-b
a2-highgpu-2g,24.0,170.0,us-west3,us-west3-b
a2-highgpu-2g,24.0,170.0,us-west4,us-west4-b
a2-highgpu-4g,48.0,340.0,asia-northeast1,asia-northeast1-a
a2-highgpu-4g,48.0,340.0,asia-northeast1,asia-northeast1-c
a2-highgpu-4g,48.0,340.0,asia-northeast3,asia-northeast3-a
a2-highgpu-4g,48.0,340.0,asia-northeast3,asia-northeast3-b
a2-highgpu-4g,48.0,340.0,asia-southeast1,asia-southeast1-b
a2-highgpu-4g,48.0,340.0,asia-southeast1,asia-southeast1-c
a2-highgpu-4g,48.0,340.0,europe-west4,europe-west4-a
a2-highgpu-4g,48.0,340.0,europe-west4,europe-west4-b
a2-highgpu-4g,48.0,340.0,us-central1,us-central1-a
a2-highgpu-4g,48.0,340.0,us-central1,us-central1-b
a2-highgpu-4g,48.0,340.0,us-central1,us-central1-c
a2-highgpu-4g,48.0,340.0,us-central1,us-central1-f
a2-highgpu-4g,48.0,340.0,us-east1,us-east1-b
a2-highgpu-4g,48.0,340.0,us-west1,us-west1-b
a2-highgpu-4g,48.0,340.0,us-west3,us-west3-b
a2-highgpu-4g,48.0,340.0,us-west4,us-west4-b
a2-highgpu-8g,96.0,680.0,asia-northeast1,asia-northeast1-a
a2-highgpu-8g,96.0,680.0,asia-northeast1,asia-northeast1-c
a2-highgpu-8g,96.0,680.0,asia-northeast3,asia-northeast3-a
a2-highgpu-8g,96.0,680.0,asia-northeast3,asia-northeast3-b
a2-highgpu-8g,96.0,680.0,asia-southeast1,asia-southeast1-b
a2-highgpu-8g,96.0,680.0,asia-southeast1,asia-southeast1-c
a2-highgpu-8g,96.0,680.0,europe-west4,europe-west4-a
a2-highgpu-8g,96.0,680.0,europe-west4,europe-west4-b
a2-highgpu-8g,96.0,680.0,us-central1,us-central1-a
a2-highgpu-8g,96.0,680.0,us-central1,us-central1-b
a2-highgpu-8g,96.0,680.0,us-central1,us-central1-c
a2-highgpu-8g,96.0,680.0,us-central1,us-central1-f
a2-highgpu-8g,96.0,680.0,us-east1,us-east1-b
a2-highgpu-8g,96.0,680.0,us-west1,us-west1-b
a2-highgpu-8g,96.0,680.0,us-west3,us-west3-b
a2-highgpu-8g,96.0,680.0,us-west4,us-west4-b
a2-megagpu-16g,96.0,1360.0,asia-southeast1,asia-southeast1-c
a2-megagpu-16g,96.0,1360.0,europe-west4,europe-west4-a
a2-megagpu-16g,96.0,1360.0,europe-west4,europe-west4-b
a2-megagpu-16g,96.0,1360.0,us-central1,us-central1-a
a2-megagpu-16g,96.0,1360.0,us-central1,us-central1-b
a2-megagpu-16g,96.0,1360.0,us-central1,us-central1-c
a2-megagpu-16g,96.0,1360.0,us-central1,us-central1-f
a2-ultragpu-1g,12.0,170.0,us-central1,us-central1-c
a2-ultragpu-1g,12.0,170.0,us-east4,us-east4-c
a2-ultragpu-2g,24.0,340.0,us-central1,us-central1-c
a2-ultragpu-2g,24.0,340.0,us-east4,us-east4-c
a2-ultragpu-4g,48.0,680.0,us-central1,us-central1-c
a2-ultragpu-4g,48.0,680.0,us-east4,us-east4-c
a2-ultragpu-8g,96.0,1360.0,us-central1,us-central1-c
a2-ultragpu-8g,96.0,1360.0,us-east4,us-east4-c
c2-standard-16,16.0,64.0,asia-east1,asia-east1-a
c2-standard-16,16.0,64.0,asia-east1,asia-east1-b
c2-standard-16,16.0,64.0,asia-east1,asia-east1-c
c2-standard-16,16.0,64.0,asia-east2,asia-east2-a
c2-standard-16,16.0,64.0,asia-east2,asia-east2-b
c2-standard-16,16.0,64.0,asia-east2,asia-east2-c
c2-standard-16,16.0,64.0,asia-northeast1,asia-northeast1-a
c2-standard-16,16.0,64.0,asia-northeast1,asia-northeast1-b
c2-standard-16,16.0,64.0,asia-northeast1,asia-northeast1-c
c2-standard-16,16.0,64.0,asia-northeast2,asia-northeast2-a
c2-standard-16,16.0,64.0,asia-northeast2,asia-northeast2-b
c2-standard-16,16.0,64.0,asia-northeast2,asia-northeast2-c
c2-standard-16,16.0,64.0,asia-northeast3,asia-northeast3-a
c2-standard-16,16.0,64.0,asia-northeast3,asia-northeast3-b
c2-standard-16,16.0,64.0,asia-northeast3,asia-northeast3-c
c2-standard-16,16.0,64.0,asia-south1,asia-south1-a
c2-standard-16,16.0,64.0,asia-south1,asia-south1-b
c2-standard-16,16.0,64.0,asia-south1,asia-south1-c
c2-standard-16,16.0,64.0,asia-south2,asia-south2-a
c2-standard-16,16.0,64.0,asia-south2,asia-south2-b
c2-standard-16,16.0,64.0,asia-south2,asia-south2-c
c2-standard-16,16.0,64.0,asia-southeast1,asia-southeast1-a
c2-standard-16,16.0,64.0,asia-southeast1,asia-southeast1-b
c2-standard-16,16.0,64.0,asia-southeast1,asia-southeast1-c
c2-standard-16,16.0,64.0,australia-southeast1,australia-southeast1-a
c2-standard-16,16.0,64.0,australia-southeast1,australia-southeast1-b
c2-standard-16,16.0,64.0,australia-southeast1,australia-southeast1-c
c2-standard-16,16.0,64.0,europe-north1,europe-north1-a
c2-standard-16,16.0,64.0,europe-north1,europe-north1-b
c2-standard-16,16.0,64.0,europe-north1,europe-north1-c
c2-standard-16,16.0,64.0,europe-west1,europe-west1-b
c2-standard-16,16.0,64.0,europe-west1,europe-west1-c
c2-standard-16,16.0,64.0,europe-west1,europe-west1-d
c2-standard-16,16.0,64.0,europe-west2,europe-west2-a
c2-standard-16,16.0,64.0,europe-west2,europe-west2-b
c2-standard-16,16.0,64.0,europe-west2,europe-west2-c
c2-standard-16,16.0,64.0,europe-west3,europe-west3-a
c2-standard-16,16.0,64.0,europe-west3,europe-west3-b
c2-standard-16,16.0,64.0,europe-west3,europe-west3-c
c2-standard-16,16.0,64.0,europe-west4,europe-west4-a
c2-standard-16,16.0,64.0,europe-west4,europe-west4-b
c2-standard-16,16.0,64.0,europe-west4,europe-west4-c
c2-standard-16,16.0,64.0,europe-west6,europe-west6-a
c2-standard-16,16.0,64.0,europe-west6,europe-west6-b
c2-standard-16,16.0,64.0,europe-west6,europe-west6-c
c2-standard-16,16.0,64.0,northamerica-northeast1,northamerica-northeast1-a
c2-standard-16,16.0,64.0,northamerica-northeast1,northamerica-northeast1-b
c2-standard-16,16.0,64.0,northamerica-northeast1,northamerica-northeast1-c
c2-standard-16,16.0,64.0,southamerica-east1,southamerica-east1-a
c2-standard-16,16.0,64.0,southamerica-east1,southamerica-east1-b
c2-standard-16,16.0,64.0,southamerica-east1,southamerica-east1-c
c2-standard-16,16.0,64.0,southamerica-west1,southamerica-west1-a
c2-standard-16,16.0,64.0,southamerica-west1,southamerica-west1-b
c2-standard-16,16.0,64.0,southamerica-west1,southamerica-west1-c
c2-standard-16,16.0,64.0,us-central1,us-central1-a
c2-standard-16,16.0,64.0,us-central1,us-central1-b
c2-standard-16,16.0,64.0,us-central1,us-central1-c
c2-standard-16,16.0,64.0,us-central1,us-central1-f
