AcceleratorName,AcceleratorCount,GpuInfo,Region,AvailabilityZone
tpu-v2-8,1,,us-central1,us-central1-b
tpu-v2-8,1,,us-central1,us-central1-c
tpu-v2-8,1,,us-central1,us-central1-f
tpu-v2-8,1,,europe-west4,europe-west4-a
tpu-v2-8,1,,asia-east1,asia-east1-c
tpu-v2-32,1,,us-central1,us-central1-a
tpu-v2-32,1,,europe-west4,europe-west4-a
tpu-v2-128,1,,us-central1,us-central1-a
tpu-v2-128,1,,europe-west4,europe-west4-a
tpu-v2-256,1,,us-central1,us-central1-a
tpu-v2-256,1,,europe-west4,europe-west4-a
tpu-v2-512,1,,us-central1,us-central1-a
tpu-v2-512,1,,europe-west4,europe-west4-a
tpu-v3-8,1,,us-central1,us-central1-a
tpu-v3-8,1,,us-central1,us-central1-b
tpu-v3-8,1,,us-central1,us-central1-f
tpu-v3-8,1,,europe-west4,europe-west4-a
tpu-v3-32,1,,us-east1,us-east1-d
tpu-v3-32,1,,europe-west4,europe-west4-a
tpu-v3-64,1,,us-east1,us-east1-d
tpu-v3-64,1,,europe-west4,europe-west4-a
tpu-v3-128,1,,us-east1,us-east1-d
tpu-v3-128,1,,europe-west4,europe-west4-a
tpu-v3-256,1,,us-east1,us-east1-d
tpu-v3-256,1,,europe-west4,europe-west4-a
tpu-v3-512,1,,us-east1,us-east1-d
tpu-v3-512,1,,europe-west4,europe-west4-a
tpu-v3-1024,1,,us-east1,us-east1-d
tpu-v3-1024,1,,europe-west4,europe-west4-a
tpu-v3-2048,1,,us-east1,us-east1-d
tpu-v3-2048,1,,europe-west4,europe-west4-a
