Region,TPU type,Price,Spot price
us-central1,tpu-v2-8,4.5,1.35
us-central1,tpu-v2-32,24,7.2
us-central1,tpu-v2-128,96,28.8
us-central1,tpu-v2-256,192,57.6
us-central1,tpu-v2-512,384,115.2
us-central1,tpu-v3-8,8,2.4
us-central2,tpu-v4-8,12.88,3.88
us-central2,tpu-v4-16,25.76,7.76
us-central2,tpu-v4-32,51.52,15.52
us-central2,tpu-v4-64,103.04,31.04
us-central2,tpu-v4-128,206.08,62.08
us-central2,tpu-v4-256,412.16,124.16
us-central2,tpu-v4-384,618.24,186.24
us-central2,tpu-v4-512,824.32,248.32
us-central2,tpu-v4-640,1030.40,310.40
us-central2,tpu-v4-768,1236.48,372.48
us-central2,tpu-v4-896,1442.56,434.56
us-central2,tpu-v4-1024,1648.64,496.64
us-central2,tpu-v4-1152,1854.72,558.72
us-central2,tpu-v4-1280,2060.80,620.80
us-central2,tpu-v4-1408,2266.88,682.88
us-central2,tpu-v4-1536,2472.96,744.96
us-central2,tpu-v4-1664,2679.04,807.04
us-central2,tpu-v4-1792,2885.12,869.12
us-central2,tpu-v4-1920,3091.20,931.20
us-central2,tpu-v4-2048,3297.28,993.28
us-central2,tpu-v4-2176,3503.36,1055.36
us-central2,tpu-v4-2304,3709.44,1117.44
us-central2,tpu-v4-2432,3915.52,1179.52
us-central2,tpu-v4-2560,4121.60,1241.60
us-central2,tpu-v4-2688,4327.68,1303.68
us-central2,tpu-v4-2816,4533.76,1365.76
us-central2,tpu-v4-2944,4739.84,1427.84
us-central2,tpu-v4-3072,4945.92,1489.92
us-central2,tpu-v4-3200,5152.00,1552.00
us-central2,tpu-v4-3328,5358.08,1614.08
us-central2,tpu-v4-3456,5564.16,1676.16
us-central2,tpu-v4-3584,5770.24,1738.24
us-central2,tpu-v4-3712,5976.32,1800.32
us-central2,tpu-v4-3840,6182.40,1862.40
us-central2,tpu-v4-3968,6388.48,1924.48
us-east1,tpu-v3-32,32,9.6
us-east1,tpu-v3-64,64,19.2
us-east1,tpu-v3-128,128,38.4
us-east1,tpu-v3-256,256,76.8
us-east1,tpu-v3-512,512,153.6
us-east1,tpu-v3-1024,1024,307.2
us-east1,tpu-v3-2048,2048,614.4
europe-west4,tpu-v2-8,4.95,1.485
europe-west4,tpu-v2-32,24,7.2
europe-west4,tpu-v2-128,96,28.8
europe-west4,tpu-v2-256,192,57.6
europe-west4,tpu-v2-512,384,115.2
europe-west4,tpu-v3-8,8.8,2.64
europe-west4,tpu-v3-32,32,9.6
europe-west4,tpu-v3-64,64,19.2
europe-west4,tpu-v3-128,128,38.4
europe-west4,tpu-v3-256,256,76.8
europe-west4,tpu-v3-512,512,153.6
europe-west4,tpu-v3-1024,1024,307.2
europe-west4,tpu-v3-2048,2048,614.4
asia-east1,tpu-v2-8,5.22,1.566
